Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample
NP_001352542.1,37062.5,51670.0,26381.0,30229.9,43439.1,23080.1,13591.5,20366.8,12355.8,33185.4,47192.3,23172.0,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325.0,31446.0,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8,37607.014814814815,37607.014814814815,19977.507407407407,31427.98888888888,37607.014814814815,18619.977777777778,26756.714814814815,30650.218518518515,15446.392592592589,31427.98888888888,37607.014814814815,18807.570370370373,25936.725925925926,30650.218518518515,15446.392592592589,30650.218518518515,34595.76666666667,17241.533333333333,30650.218518518515,31427.98888888888,16858.855555555554,33355.5,39181.1962962963,17604.44814814815,31427.98888888888,39181.1962962963,18128.937037037034
NP_002464.1,19427.3,25402.4,22284.2,18006.9,23741.6,20898.2,11798.1,15371.9,16056.8,18953.9,26016.7,22605.4,17417.6,22669.0,22470.5,20315.9,28743.7,24522.8,14633.9,20409.0,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4,21062.459259259256,19674.255555555552,17604.44814814815,19977.507407407407,19295.377777777772,17048.41111111111,22736.351851851847,21350.111111111117,20296.73333333333,19977.507407407407,20296.73333333333,18128.937037037034,21350.111111111117,20581.51111111112,19295.377777777772,22165.59259259259,22165.59259259259,19295.377777777772,18807.570370370373,20581.51111111112,18993.759259259255,17241.533333333333,18619.977777777778,17241.533333333333,18128.937037037034,18993.759259259255,18390.22222222222
XP_006720633.1,16791.8,18958.2,22244.8,17048.4,19550.3,21019.6,13461.3,15120.2,16835.4,18537.3,21105.2,21064.5,20723.8,24030.7,26205.1,22989.7,27398.3,26764.1,17891.0,20677.8,22794.1,19475.0,22736.7,21950.9,15179.2,17181.7,20117.1,17435.325925925925,14201.18888888889,17435.325925925925,18807.570370370373,16015.655555555559,17241.533333333333,25936.725925925926,20581.51111111112,21062.459259259256,18619.977777777778,15860.429629629629,17048.41111111111,24771.4074074074,21760.211111111115,22165.59259259259,24771.4074074074,19977.507407407407,19977.507407407407,23792.018518518522,21350.111111111117,23214.166666666668,27558.16666666667,22165.59259259259,22165.59259259259,29596.79259259259,22736.351851851847,22736.351851851847
NP_001017963.2,13310.9,17617.5,17971.2,12191.6,15937.3,16905.1,7839.3,10792.9,12818.4,12644.6,17387.0,18401.0,11471.8,15297.9,18231.6,12829.7,17410.5,22162.5,9981.6,13709.0,16219.2,9067.2,13086.4,14426.8,7104.2,9894.8,13243.3,12658.896296296296,13164.400000000001,14999.225925925924,12351.333333333334,12876.21111111111,14738.770370370372,12961.788888888888,14201.18888888889,16650.007407407407,12351.333333333334,12961.788888888888,15446.392592592589,13068.57407407407,13698.807407407407,15671.040740740744,13260.744444444446,13698.807407407407,17604.44814814815,12758.611111111111,13941.862962962967,15323.433333333329,11514.740740740743,12658.896296296296,14999.225925925924,11657.937037037036,13164.400000000001,15446.392592592589
NP_001258898.1,21943.7,35543.7,36182.3,20568.1,32030.0,33843.0,12932.5,19959.7,23820.0,22177.2,36078.5,38389.6,19586.8,29230.3,34946.2,18950.9,30537.4,33671.8,19289.0,28650.7,36616.8,17890.2,28775.4,31704.8,13142.2,19430.1,26245.9,22736.351851851847,27558.16666666667,25936.725925925926,23214.166666666668,26756.714814814815,25936.725925925926,24771.4074074074,28751.551851851844,28751.551851851844,23792.018518518522,26756.714814814815,26756.714814814815,23214.166666666668,28113.70740740741,28113.70740740741,21350.111111111117,23214.166666666668,26756.714814814815,28113.70740740741,28751.551851851844,32517.937037037038,22736.351851851847,27558.16666666667,30650.218518518515,23214.166666666668,25936.725925925926,32517.937037037038
NP_005338.1,37286.4,38669.3,34448.9,34076.4,35732.2,32098.6,21355.9,22358.9,21709.6,36502.7,36792.7,32021.5,30236.0,31310.0,30072.0,31680.7,34089.0,31547.7,31275.5,31945.7,30511.7,29368.5,30395.5,27017.0,22862.8,23739.3,25265.0,39181.1962962963,31427.98888888888,25280.94444444444,39181.1962962963,30650.218518518515,25280.94444444444,39181.1962962963,31427.98888888888,25936.725925925926,42465.04074074075,27558.16666666667,24248.185185185186,39181.1962962963,29596.79259259259,25280.94444444444,35542.33333333333,27558.16666666667,25280.94444444444,42465.04074074075,33355.5,27558.16666666667,44601.13703703704,30650.218518518515,26756.714814814815,44601.13703703704,34595.76666666667,30650.218518518515
NP_001419.1,33984.0,41833.5,54340.1,29931.6,38649.3,50070.7,22230.2,27935.3,39632.5,36284.1,43744.8,54326.7,33880.7,42240.0,58214.0,31489.7,40916.6,52972.6,31306.0,37486.1,50818.6,27648.6,34218.6,44784.9,20419.9,25148.9,36594.1,32517.937037037038,34595.76666666667,39181.1962962963,30650.218518518515,34595.76666666667,37607.014814814815,44601.13703703704,39181.1962962963,44601.13703703704,37607.014814814815,35542.33333333333,37607.014814814815,44601.13703703704,42465.04074074075,44601.13703703704,34595.76666666667,32517.937037037038,34595.76666666667,44601.13703703704,39181.1962962963,50870.4,39181.1962962963,37607.014814814815,42465.04074074075,39181.1962962963,37607.014814814815,44601.13703703704
NP_001092.1,25013.5,35942.2,42616.3,25162.8,37244.6,45046.8,18758.2,25184.4,33603.9,26883.5,40190.6,46383.6,28243.8,39367.2,52388.8,33957.9,47599.5,53349.9,24886.0,34879.1,46440.8,22597.4,32991.8,40940.5,16289.1,20734.4,30436.5,25280.94444444444,28751.551851851844,32517.937037037038,28751.551851851844,31427.98888888888,34595.76666666667,33355.5,35542.33333333333,39181.1962962963,26756.714814814815,32517.937037037038,34595.76666666667,32517.937037037038,34595.76666666667,39181.1962962963,39181.1962962963,39181.1962962963,35542.33333333333,34595.76666666667,35542.33333333333,39181.1962962963,30650.218518518515,35542.33333333333,39181.1962962963,33355.5,28751.551851851844,37607.014814814815
NP_001157789.1,11838.9,12516.0,10331.7,11414.6,11251.8,10196.6,9402.1,7322.1,7984.5,12421.4,12581.7,11349.9,13149.7,11274.7,11150.7,18836.3,15527.5,16405.3,12776.9,10553.5,10566.8,9924.9,8893.2,8931.6,6976.5,5487.3,6258.0,11657.937037037036,9388.925925925927,8467.644444444446,11657.937037037036,9089.574074074075,8528.592592592591,15860.429629629629,9883.211111111112,9883.211111111112,12065.055555555558,9474.281481481481,9650.255555555555,15121.285185185186,9978.91851851852,9562.325925925925,20581.51111111112,12260.040740740738,13698.807407407407,16858.855555555554,10906.462962962964,10642.818518518518,12495.288888888892,8979.455555555554,8759.72222222222,11265.237037037035,7328.025925925925,7035.2555555555555
NP_003118.2,14067.4,22437.8,15435.1,12482.5,19471.8,13776.1,8107.4,12342.8,10094.1,12386.8,20310.7,13935.0,11113.5,16902.3,13264.6,10949.9,19383.5,13034.8,9198.6,13521.3,11341.6,9994.7,16852.3,11944.8,9471.5,13440.6,12543.0,13574.722222222223,17048.41111111111,13164.400000000001,12658.896296296296,15860.429629629629,11849.511111111111,13826.644444444442,16159.23333333333,12658.896296296296,11967.618518518519,15121.285185185186,11849.511111111111,12495.288888888892,14866.170370370368,11265.237037037035,10966.796296296292,14866.170370370368,10129.485185185184,12065.055555555558,13826.644444444442,11189.792592592596,12579.114814814817,16650.007407407407,12758.611111111111,16015.655555555559,17909.33703703704,14999.225925925924
XP_005264575.1,13844.7,23159.2,11513.9,12502.6,21544.9,10567.8,8045.0,12707.0,8314.0,13734.2,22951.9,10967.8,12292.1,19219.3,10816.3,12163.7,22847.9,10639.9,10317.9,15777.4,9046.2,11330.1,18550.6,9654.3,9449.3,15110.8,10000.2,13344.218518518519,17604.44814814815,9650.255555555555,12758.611111111111,17435.325925925925,9173.718518518519,13344.218518518519,16650.007407407407,10384.874074074074,13449.977777777778,17435.325925925925,9388.925925925927,14493.781481481481,17241.533333333333,8979.455555555554,12351.333333333334,17241.533333333333,8630.488888888889,13344.218518518519,15671.040740740744,8581.333333333334,14617.03333333333,17909.33703703704,9474.281481481481,15860.429629629629,19674.255555555552,11416.074074074077
XP_011522177.1,9375.8,14853.9,18275.9,9102.2,14231.8,16970.0,5916.6,9334.1,13268.1,9655.0,15309.1,18643.8,8929.8,13879.0,19230.2,8442.7,14187.0,15674.6,5837.8,9441.7,13574.7,6419.2,10388.4,13008.8,5561.1,8358.1,12850.5,9562.325925925925,11105.655555555553,15323.433333333329,9801.611111111111,11337.011111111111,14999.225925925924,9883.211111111112,12658.896296296296,17241.533333333333,9840.333333333334,11514.740740740743,15671.040740740744,10080.085185185184,12260.040740740738,16858.855555555554,8669.166666666668,10756.766666666665,12961.788888888888,7749.448148148147,9978.91851851852,13344.218518518519,8373.292592592592,10215.574074074077,13449.977777777778,9052.655555555555,11265.237037037035,15121.285185185186
NP_004125.3,13575.7,24619.8,19518.9,11702.2,22840.0,17984.4,7678.7,15241.7,12907.3,12926.3,23611.9,18979.0,11561.6,23230.3,18705.8,12683.9,28475.0,18664.4,9781.4,18597.6,16023.2,10836.1,21763.8,16788.7,7404.6,16460.6,13852.7,12961.788888888888,18619.977777777778,16159.23333333333,11967.618518518519,18128.937037037034,15860.429629629629,12658.896296296296,21062.459259259256,16858.855555555554,12579.114814814817,17909.33703703704,16015.655555555559,13260.744444444446,20873.614814814813,16159.23333333333,13164.400000000001,21760.211111111115,14999.225925925924,12579.114814814817,18807.570370370373,15121.285185185186,13698.807407407407,20873.614814814813,16015.655555555559,12425.448148148149,21062.459259259256,16650.007407407407
NP_000282.1,14446.5,29622.8,33127.1,13593.7,28370.7,31594.6,11312.1,20063.7,23619.7,15106.4,30449.6,34012.2,17241.8,29842.1,35202.1,18749.5,31284.0,32735.3,15202.9,26891.9,32793.6,16475.2,29688.1,33512.8,14904.6,24709.5,30603.3,14201.18888888889,22736.351851851847,24771.4074074074,14056.044444444442,22736.351851851847,24771.4074074074,21350.111111111117,29596.79259259259,28113.70740740741,15323.433333333329,22165.59259259259,25280.94444444444,21062.459259259256,28751.551851851844,28751.551851851844,20296.73333333333,23792.018518518522,25936.725925925926,19674.255555555552,27558.16666666667,28113.70740740741,21760.211111111115,28751.551851851844,33355.5,28751.551851851844,35542.33333333333,39181.1962962963
XP_011532005.1,15970.2,7458.7,17164.5,15619.6,7458.7,16917.2,9314.3,4534.0,10041.2,15484.3,7445.8,16161.7,12864.5,6240.5,14782.2,14343.9,6761.9,16544.9,10709.4,5089.7,11377.7,10904.5,5368.6,11600.5,9195.6,4626.1,10492.5,16015.655555555559,5726.54074074074,14201.18888888889,17048.41111111111,6150.155555555557,14866.170370370368,15671.040740740744,6063.992592592592,12579.114814814817,15860.429629629629,5767.307407407407,14201.18888888889,14999.225925925924,5466.311111111112,12658.896296296296,14493.781481481481,5276.499999999999,13941.862962962967,13941.862962962967,5362.685185185185,11337.011111111111,13826.644444444442,5381.444444444444,11967.618518518519,15446.392592592589,6278.437037037037,12179.081481481482
NP_004095.4,7384.0,5818.4,9925.7,7838.2,5792.7,10344.6,7646.8,5278.8,9083.6,8575.6,6471.6,10770.4,12235.0,9025.2,15611.6,10066.2,7386.1,10624.5,7362.8,5251.0,9703.2,7747.6,5635.7,9242.9,6068.6,4088.9,7520.8,7567.207407407408,4434.829629629629,8206.207407407406,8432.262962962965,4723.8296296296285,8759.72222222222,12579.114814814817,7197.34074074074,11576.91851851852,8694.837037037036,4970.274074074074,8904.796296296296,13941.862962962967,7996.2444444444445,13068.57407407407,10180.355555555554,5752.196296296297,8581.333333333334,9474.281481481481,5578.403703703704,9388.925925925927,9801.611111111111,5686.799999999999,9173.718518518519,9930.762962962963,5617.122222222223,8669.166666666668
NP_002147.2,11753.4,19421.8,30224.4,10276.0,17338.2,27908.7,6218.6,9871.0,17563.1,10741.5,18510.2,27891.5,8869.5,14262.0,24749.7,9377.0,15707.2,27722.1,7770.9,12503.4,20658.4,7504.2,13224.9,20693.6,5990.5,9674.4,18626.3,11416.074074074077,14866.170370370368,22736.351851851847,10848.059259259258,13698.807407407407,21760.211111111115,10316.196296296299,13260.744444444446,22165.59259259259,10906.462962962964,13698.807407407407,21350.111111111117,9883.211111111112,12758.611111111111,20873.614814814813,9700.348148148149,12495.288888888892,21062.459259259256,10215.574074074077,12495.288888888892,19977.507407407407,9388.925925925927,12758.611111111111,20873.614814814813,9801.611111111111,12579.114814814817,21760.211111111115
NP_005959.2,37888.5,53641.5,32903.4,33247.9,46260.1,29559.7,18817.6,25015.7,18001.6,36305.1,49844.5,31614.4,29245.4,39862.3,27626.7,31876.6,44992.4,29543.1,23170.1,30686.5,21617.1,23362.5,32125.6,21665.9,16172.1,20522.6,16548.5,42465.04074074075,39181.1962962963,24248.185185185186,34595.76666666667,39181.1962962963,23792.018518518522,34595.76666666667,34595.76666666667,23792.018518518522,39181.1962962963,39181.1962962963,23792.018518518522,34595.76666666667,35542.33333333333,24248.185185185186,37607.014814814815,37607.014814814815,22165.59259259259,31427.98888888888,30650.218518518515,22736.351851851847,32517.937037037038,33355.5,21760.211111111115,32517.937037037038,28113.70740740741,19295.377777777772
NP_005372.2,36893.8,59083.1,94069.6,33716.5,53315.7,86268.8,16381.7,25766.5,40061.5,34343.4,54384.6,85835.0,24298.8,38021.4,58544.2,26659.6,41372.4,67377.0,20238.2,32315.4,49247.7,20359.4,32819.2,48386.9,13922.7,22352.4,34669.6,35542.33333333333,44601.13703703704,80178.53333333334,35542.33333333333,44601.13703703704,80178.53333333334,31427.98888888888,37607.014814814815,50870.4,34595.76666666667,42465.04074074075,80178.53333333334,31427.98888888888,33355.5,50870.4,28751.551851851844,33355.5,50870.4,29596.79259259259,34595.76666666667,42465.04074074075,29596.79259259259,34595.76666666667,50870.4,26756.714814814815,32517.937037037038,42465.04074074075
NP_001353228.1,15603.0,21075.9,14243.2,15402.7,20408.9,14596.5,10756.6,13463.3,10115.0,16455.1,22306.3,15018.3,16676.4,21603.2,16284.8,17280.0,23171.3,16083.8,12536.8,16096.2,12311.2,13135.8,17517.2,12452.4,10164.3,12866.4,10585.9,15323.433333333329,16159.23333333333,11849.511111111111,16408.14074074074,16858.855555555554,12758.611111111111,18807.570370370373,17604.44814814815,12758.611111111111,17241.533333333333,16858.855555555554,12758.611111111111,20581.51111111112,19674.255555555552,13698.807407407407,18128.937037037034,17604.44814814815,13344.218518518519,16650.007407407407,16159.23333333333,12658.896296296296,17048.41111111111,17241.533333333333,13164.400000000001,16650.007407407407,17604.44814814815,12351.333333333334
NP_001952.1,22975.9,27011.1,27835.1,21780.6,26213.8,27096.2,17501.5,22419.7,23260.7,23691.5,31047.9,33869.8,29508.5,36664.4,38721.6,31108.5,38613.6,37006.7,23876.9,31518.6,35431.8,23140.6,31088.8,32412.7,18002.5,22663.5,23127.9,24248.185185185186,21062.459259259256,20581.51111111112,24248.185185185186,21350.111111111117,20873.614814814813,32517.937037037038,32517.937037037038,27558.16666666667,24771.4074074074,22736.351851851847,24771.4074074074,35542.33333333333,32517.937037037038,30650.218518518515,33355.5,30650.218518518515,28751.551851851844,32517.937037037038,32517.937037037038,31427.98888888888,31427.98888888888,32517.937037037038,31427.98888888888,35542.33333333333,33355.5,26756.714814814815
NP_000691.1,15424.9,24814.1,25572.5,14690.1,23682.3,24540.6,10115.8,14755.7,18109.6,14040.8,24849.7,23268.5,13487.5,20515.4,24853.8,15469.5,24395.6,27106.9,11710.4,17720.5,20840.4,10501.9,16839.5,18153.0,8572.6,12107.2,16278.8,14999.225925925924,19295.377777777772,19674.255555555552,15323.433333333329,18993.759259259255,19977.507407407407,17241.533333333333,19977.507407407407,24248.185185185186,13941.862962962967,19295.377777777772,18993.759259259255,15323.433333333329,18619.977777777778,21062.459259259256,15671.040740740744,18390.22222222222,20873.614814814813,15671.040740740744,17909.33703703704,20296.73333333333,13449.977777777778,16408.14074074074,17435.325925925925,14330.955555555558,16159.23333333333,18619.977777777778
NP_004437.2,7449.5,11221.5,14571.5,7717.1,11079.1,14453.0,5622.3,8691.7,12408.9,8224.1,11709.9,15472.4,8977.2,13673.0,19822.0,9439.1,14306.6,21551.6,7034.9,10462.9,14974.1,8278.1,11552.9,15649.0,5840.6,9025.8,13725.7,7677.655555555555,8528.592592592591,12495.288888888892,8292.674074074072,8852.770370370368,12495.288888888892,9388.925925925927,11746.559259259258,15671.040740740744,8496.603703703704,8904.796296296296,13164.400000000001,10129.485185185184,11967.618518518519,17435.325925925925,9801.611111111111,11039.025925925926,17435.325925925925,8979.455555555554,10756.766666666665,14617.03333333333,10642.818518518518,11416.074074074077,15671.040740740744,9474.281481481481,12179.081481481482,16159.23333333333
NP_003290.1,19129.0,24425.6,28641.3,18164.9,22082.0,27213.5,10692.5,12960.6,17509.4,18942.5,22697.8,28851.4,16044.3,19069.1,25758.8,17358.2,19311.2,27078.0,16303.5,18907.5,26214.2,18888.8,21266.2,27997.3,13245.4,15842.4,24172.5,20296.73333333333,18128.937037037034,21350.111111111117,20873.614814814813,17909.33703703704,21062.459259259256,18619.977777777778,17048.41111111111,21760.211111111115,19674.255555555552,17241.533333333333,22165.59259259259,19674.255555555552,16858.855555555554,21760.211111111115,18807.570370370373,14617.03333333333,20581.51111111112,21350.111111111117,19674.255555555552,25280.94444444444,25280.94444444444,20296.73333333333,27558.16666666667,23792.018518518522,20581.51111111112,28113.70740740741
