Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
XP_006712933.1,41.1,0.0,20.0,50.9,0.0,22.8,52.7,0.0,18.6,46.6,25.5,0.0,65.26666666666667,0.0,8.233333333333333,64.17500000000001,0.0,7.391666666666668,64.70833333333333,0.0,5.941666666666666,56.71666666666666,7.533333333333334,0.0,44.9,32.4,,57.9,21.9,,40.2,23.9,,43.3,20.9,,47.5,20.9,,bla2252
XP_016856320.1,134.2,0.0,202.2,195.8,0.0,284.5,345.6,0.0,275.6,289.9,264.2,0.0,203.88333333333335,0.0,230.16666666666666,202.25833333333333,0.0,218.55833333333337,328.4,0.0,203.5416666666667,285.69166666666666,188.29166666666666,0.0,307.7,398.2,,237.6,391.1,,224.9,233.8,,235.1,294.1,,134.3,227.5,,bla2254
NP_006262.1,640.7,196.7,33.8,1122.3,250.9,56.1,1160.8,237.9,45.3,1304.0,67.0,343.5,943.4416666666667,270.9583333333333,14.183333333333332,1128.4,265.80833333333334,17.675,1114.8,259.5416666666667,13.983333333333333,1270.65,29.558333333333337,340.625,962.6,60.9,284.3,885.4,27.4,125.2,1148.3,73.6,386.5,1613.9,76.3,405.9,1174.9,110.6,601.5,bla2255
NP_053582.2,0.0,17.5,11.5,0.0,15.8,9.6,0.0,14.2,9.5,0.0,17.7,17.1,0.0,41.574999999999996,5.133333333333333,0.0,35.074999999999996,3.3333333333333335,0.0,33.400000000000006,2.525,0.0,4.833333333333333,34.44166666666666,,10.3,16.1,,9.8,17.3,,9.0,12.6,,10.6,15.4,,9.3,16.0,bla2256
NP_001273345.1,876.3,1199.4,1722.1,1242.1,1607.7,2460.2,1435.9,1674.6,2581.2,1226.5,2507.4,1583.7,1343.8666666666666,1523.3,2422.6333333333337,1253.475,1428.8333333333333,2150.9666666666667,1394.1166666666668,1466.3666666666666,2183.666666666667,1184.0833333333333,2119.4416666666666,1359.6666666666667,1345.3,2369.0,1609.4,1160.7,2536.2,1639.9,1181.7,1986.1,1369.8,1128.6,2090.0,1306.1,812.0,1711.9,1263.0,bla2258
NP_987093.1,118.4,174.6,125.4,181.0,195.7,188.9,175.3,181.3,202.8,199.7,195.0,202.6,174.775,243.9083333333334,124.11666666666667,191.79999999999998,218.55833333333337,135.67499999999998,180.92499999999998,205.29166666666666,139.3,198.88333333333335,134.85,213.54166666666666,154.9,169.8,205.5,184.7,195.0,173.8,147.4,154.5,187.0,141.3,180.9,162.2,98.1,113.1,185.4,bla2259
NP_036606.2,965.6,358.4,0.0,1129.1,381.4,0.0,1187.2,368.4,0.0,1211.2,0.0,390.6,1529.7833333333335,485.69166666666666,0.0,1134.1916666666666,392.7833333333333,0.0,1147.5833333333333,378.39166666666665,0.0,1169.6083333333333,0.0,384.0,1272.2,,450.8,1125.9,,422.3,1014.8,,467.9,819.0,,506.8,738.5,,488.1,bla2260
XP_005270993.1,60.8,39.1,0.0,68.8,49.3,0.0,73.8,39.5,0.0,81.8,0.0,46.9,93.01666666666665,71.33333333333333,0.0,78.80833333333334,70.13333333333334,0.0,81.08333333333333,58.94166666666667,0.0,85.30833333333332,0.0,63.82500000000001,85.0,,55.2,81.9,,35.3,60.7,,49.7,54.5,,37.0,59.1,,39.6,bla2263
NP_004613.1,0.0,791.1,712.5,0.0,1040.3,1201.1,0.0,967.5,1415.9,0.0,1234.8,1005.9,0.0,1015.3000000000001,971.9916666666668,0.0,989.0833333333334,1048.425,0.0,905.6916666666667,1221.65,0.0,1025.8666666666666,912.8166666666666,,1072.3,1052.0,,1612.5,1329.3,,946.5,787.9,,1065.7,782.7,,611.9,742.6,bla2264
NP_060537.3,116.5,0.0,112.0,301.2,0.0,173.4,329.7,0.0,156.8,398.0,184.6,0.0,169.33333333333334,0.0,105.01666666666665,311.5166666666667,0.0,124.11666666666667,315.7416666666666,0.0,108.1416666666667,381.625,123.67500000000001,0.0,179.6,162.1,,213.0,255.2,,158.7,127.1,,166.9,152.9,,132.8,138.7,,bla2265
NP_786924.2,25.1,0.0,366.7,34.9,0.0,578.7,29.7,0.0,610.4,31.7,594.0,0.0,43.40833333333333,0.0,472.02500000000003,46.81666666666667,0.0,492.15000000000003,41.016666666666666,0.0,500.4833333333333,41.574999999999996,477.3916666666667,0.0,34.5,530.1,,28.2,714.5,,21.7,485.8,,21.1,582.3,,19.0,397.5,,bla2266
NP_996670.1,645.5,20.8,100.0,1126.5,47.2,220.8,1018.2,41.0,210.5,1138.4,259.4,48.4,950.9666666666667,46.349999999999994,89.78333333333335,1131.8,67.68333333333334,162.37499999999997,981.5999999999999,60.708333333333336,145.85000000000002,1082.95,184.53333333333333,66.575,824.6,159.7,28.6,1093.0,220.1,44.9,649.3,109.4,21.7,657.6,111.0,18.3,503.3,63.6,8.6,bla2267
NP_110438.1,0.0,280.2,840.3,0.0,586.0,1426.0,0.0,606.7,1385.7,0.0,1335.1,625.0,0.0,392.1833333333332,1163.2333333333333,0.0,587.0083333333333,1288.7333333333333,0.0,597.6916666666667,1190.5333333333335,0.0,1128.4,595.8583333333333,,1202.6,411.7,,1768.6,558.4,,922.5,336.1,,1070.5,336.6,,776.1,231.7,bla2269
NP_005101.1,18.3,197.9,0.0,17.2,190.7,0.0,21.9,190.4,0.0,16.4,0.0,187.4,35.074999999999996,272.47499999999997,0.0,29.558333333333337,210.73333333333335,0.0,32.225,211.39166666666668,0.0,27.5,0.0,202.25833333333333,21.7,,252.4,28.1,,180.7,21.6,,231.0,20.2,,220.0,20.7,,257.5,bla2272
NP_006003.1,104.2,0.0,128.3,123.8,0.0,153.0,123.5,0.0,132.1,136.9,173.4,0.0,152.40833333333333,0.0,125.84166666666665,134.225,0.0,107.03333333333332,132.16666666666666,0.0,86.81666666666668,139.69166666666666,116.53333333333332,0.0,150.9,170.1,,110.7,112.3,,121.9,146.1,,114.8,115.1,,120.8,134.2,,bla2274
NP_055643.1,0.0,575.5,30.3,0.0,843.0,32.1,0.0,779.2,33.1,0.0,37.7,768.0,0.0,765.5666666666667,12.316666666666668,0.0,808.3333333333334,10.316666666666666,0.0,757.3916666666668,11.033333333333333,0.0,11.375,729.8916666666668,,28.7,754.8,,36.6,804.5,,24.5,599.3,,30.2,639.5,,29.3,583.3,bla2275
NP_001287894.1,169.2,0.0,435.6,235.3,0.0,659.9,224.1,0.0,682.9,235.6,679.8,0.0,253.22500000000002,0.0,567.725,239.90833333333333,0.0,571.4416666666667,221.8666666666667,0.0,560.425,229.725,553.95,0.0,224.5,576.8,,297.2,819.0,,164.9,459.6,,167.4,495.5,,132.1,362.9,,bla2277
NP_001093631.1,118.7,194.9,615.1,157.1,219.8,811.0,157.2,230.3,862.0,158.7,798.0,231.7,176.01666666666665,268.62499999999994,813.4249999999998,167.16666666666666,243.03333333333333,701.5833333333334,163.60833333333332,252.35000000000002,721.8000000000001,159.475,655.7333333333332,240.45833333333334,181.3,952.8,287.1,156.2,1114.2,232.0,136.8,735.8,237.7,158.5,792.4,200.1,126.0,609.9,185.2,bla2278
XP_006721703.1,709.8,74.7,0.0,1542.5,108.8,0.0,1514.9,107.9,0.0,1650.2,0.0,107.3,1053.9333333333336,116.01666666666667,0.0,1558.0,129.275,0.0,1470.7749999999999,130.65,0.0,1581.3166666666666,0.0,119.45,1198.3,,92.4,1184.4,,68.2,993.1,,71.5,1137.6,,71.3,717.2,,69.8,bla2279
XP_024306762.1,1033.2,72.1,173.2,2015.6,118.8,264.6,1952.0,123.9,283.2,2090.8,286.0,128.3,1650.4833333333336,114.825,193.96666666666667,2087.0083333333337,142.36666666666667,197.42499999999998,1918.341666666667,148.96666666666667,210.73333333333335,2063.1,207.42499999999998,145.34166666666667,1646.0,233.1,89.0,1826.8,296.3,126.5,1346.1,218.7,76.9,1536.9,220.2,104.2,1175.3,146.2,78.9,bla2281
