Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
XP_005251033.1,41878.7,39250.7,72004.0,67453.5,54892.9,113976.1,78459.0,61290.1,131329.0,74054.7,124349.4,57905.7,74435.28333333333,44133.950000000004,86470.35833333332,74435.28333333333,44133.950000000004,86470.35833333332,74435.28333333333,46572.14166666666,86470.35833333332,74435.28333333333,86470.35833333332,44133.950000000004,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,bla1
XP_016873759.1,15718.3,28127.6,14167.7,24332.9,37934.7,21067.5,24418.8,39450.1,21835.2,25771.4,22486.2,42002.5,31577.091666666664,35382.425,19830.69166666667,30057.80833333333,29591.774999999998,17932.100000000002,26851.024999999998,31577.091666666664,17281.025,30057.80833333333,18101.833333333332,33403.38333333333,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,bla3
NP_001104026.1,22106.3,32174.6,28072.4,31264.1,45191.5,39870.3,33688.6,46530.0,43499.4,32481.8,42074.6,48838.3,44133.950000000004,37386.46666666666,44133.950000000004,35382.425,37386.46666666666,37386.46666666666,34442.11666666666,37386.46666666666,36380.85833333334,33403.38333333333,37386.46666666666,37386.46666666666,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,bla4
NP_006280.3,12457.9,20406.0,17340.7,18193.2,25173.6,23118.1,20672.8,27516.3,25912.9,19352.6,24082.6,25566.0,25046.8,26851.024999999998,25046.8,21928.45,21164.658333333336,19299.8,22905.833333333332,21832.466666666667,20796.18333333333,21832.466666666667,18784.600000000002,20119.583333333336,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,bla5
NP_003371.2,47818.9,42664.1,60445.9,75966.0,65937.9,98001.9,78924.3,76800.7,103808.0,84439.1,110019.1,75159.6,86470.35833333332,86470.35833333332,74435.28333333333,86470.35833333332,74435.28333333333,74435.28333333333,86470.35833333332,74435.28333333333,74435.28333333333,86470.35833333332,74435.28333333333,74435.28333333333,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,bla6
NP_733821.1,32198.3,33367.3,38208.2,52302.1,50799.0,62699.7,52502.7,55194.3,68047.3,56570.4,66445.9,54005.2,55790.025,40565.85,55790.025,55790.025,41720.208333333336,55790.025,55790.025,41720.208333333336,55790.025,55790.025,55790.025,40565.85,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,bla7
NP_005091.2,6238.1,8023.4,16728.7,10290.7,14268.7,30566.1,11015.1,14327.0,33196.3,11595.0,33603.8,14992.3,10800.566666666668,10448.491666666667,23418.333333333332,11364.016666666668,12882.683333333334,25596.58333333334,11608.616666666669,12457.700000000003,26851.024999999998,11822.175000000001,27784.68333333333,13387.666666666666,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,bla8
NP_006608.1,19284.2,14526.3,19396.5,35084.1,20728.0,31848.4,36987.7,20717.9,33676.9,39044.2,32999.6,21444.2,37386.46666666666,19830.69166666667,30057.80833333333,46572.14166666666,17512.56666666667,27784.68333333333,46572.14166666666,17281.025,27784.68333333333,46572.14166666666,26170.43333333333,17512.56666666667,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,bla9
NP_006588.1,19612.3,41204.4,31493.8,30377.5,59524.1,49172.1,32720.6,67534.6,55504.1,32383.6,54593.5,65676.1,40565.85,74435.28333333333,46572.14166666666,34442.11666666666,46572.14166666666,44133.950000000004,32608.00833333333,55790.025,46572.14166666666,32608.00833333333,44133.950000000004,46572.14166666666,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,bla10
NP_008835.5,10957.3,11998.4,18174.7,11549.2,10528.4,19889.7,12807.2,11691.9,22368.7,11414.0,19681.0,10169.1,20796.18333333333,15641.550000000001,27784.68333333333,12457.700000000003,9438.833333333334,16946.100000000002,13097.608333333332,10295.008333333333,17932.100000000002,11760.775000000001,15860.183333333332,8595.358333333335,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,bla11
NP_001352542.1,13591.5,12355.8,20366.8,30229.9,23080.1,43439.1,33185.4,23172.0,47192.3,37062.5,51670.0,26381.0,28816.166666666668,15977.533333333335,32608.00833333333,33403.38333333333,19497.6,40565.85,33403.38333333333,19668.024999999998,40565.85,40565.85,40565.85,20796.18333333333,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325.0,31446.0,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8,bla12
NP_002464.1,11798.1,16056.8,15371.9,18006.9,20898.2,23741.6,18953.9,22605.4,26016.7,19427.3,25402.4,22284.2,23960.858333333334,21164.658333333336,22388.74166666667,20796.18333333333,17749.30833333333,20119.583333333336,20796.18333333333,18784.600000000002,21164.658333333336,21928.45,20513.425,18294.325,17417.6,22669.0,22470.5,20315.9,28743.7,24522.8,14633.9,20409.0,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4,bla13
XP_006720633.1,13461.3,16835.4,15120.2,17048.4,21019.6,19550.3,18537.3,21064.5,21105.2,16791.8,18958.2,22244.8,27784.68333333333,21928.45,21504.5,19668.024999999998,17932.100000000002,16604.791666666668,19497.6,17749.30833333333,16483.8,18294.325,14878.300000000001,18101.833333333332,20723.8,24030.7,26205.1,22989.7,27398.3,26764.1,17891.0,20677.8,22794.1,19475.0,22736.7,21950.9,15179.2,17181.7,20117.1,bla14
NP_001017963.2,7839.3,12818.4,10792.9,12191.6,16905.1,15937.3,12644.6,18401.0,17387.0,13310.9,17617.5,17971.2,13665.291666666666,17281.025,14878.300000000001,12997.666666666666,15349.974999999999,13553.449999999999,12997.666666666666,15977.533333333335,13665.291666666666,13322.225,13824.974999999999,15547.508333333333,11471.8,15297.9,18231.6,12829.7,17410.5,22162.5,9981.6,13709.0,16219.2,9067.2,13086.4,14426.8,7104.2,9894.8,13243.3,bla15
NP_001258898.1,12932.5,23820.0,19959.7,20568.1,33843.0,32030.0,22177.2,38389.6,36078.5,21943.7,35543.7,36182.3,26170.43333333333,30723.633333333335,30723.633333333335,24474.033333333336,27784.68333333333,28816.166666666668,25046.8,28816.166666666668,28816.166666666668,23960.858333333334,29591.774999999998,27784.68333333333,19586.8,29230.3,34946.2,18950.9,30537.4,33671.8,19289.0,28650.7,36616.8,17890.2,28775.4,31704.8,13142.2,19430.1,26245.9,bla16
NP_005338.1,21355.9,21709.6,22358.9,34076.4,32098.6,35732.2,36502.7,32021.5,36792.7,37286.4,38669.3,34448.9,41720.208333333336,27784.68333333333,33403.38333333333,41720.208333333336,26851.024999999998,32608.00833333333,44133.950000000004,25596.58333333334,29591.774999999998,41720.208333333336,33403.38333333333,26851.024999999998,30236.0,31310.0,30072.0,31680.7,34089.0,31547.7,31275.5,31945.7,30511.7,29368.5,30395.5,27017.0,22862.8,23739.3,25265.0,bla17
NP_001186883.1,0.0,263.3,286.6,0.0,316.9,357.9,0.0,261.5,316.3,0.0,377.8,334.8,0.0,368.21666666666664,350.7,0.0,334.1166666666667,294.7666666666667,0.0,275.75,233.73333333333338,0.0,294.7666666666667,336.78333333333336,,358.9,325.0,,524.8,374.1,,279.8,281.5,,291.9,233.5,,237.1,246.8,bla18
NP_001419.1,22230.2,39632.5,27935.3,29931.6,50070.7,38649.3,36284.1,54326.7,43744.8,33984.0,41833.5,54340.1,46572.14166666666,46572.14166666666,41720.208333333336,32608.00833333333,40565.85,36380.85833333334,40565.85,40565.85,37386.46666666666,34442.11666666666,36380.85833333334,41720.208333333336,33880.7,42240.0,58214.0,31489.7,40916.6,52972.6,31306.0,37486.1,50818.6,27648.6,34218.6,44784.9,20419.9,25148.9,36594.1,bla19
NP_001092.1,18758.2,33603.9,25184.4,25162.8,45046.8,37244.6,26883.5,46383.6,40190.6,25013.5,35942.2,42616.3,35382.425,41720.208333333336,37386.46666666666,30723.633333333335,36380.85833333334,33403.38333333333,28816.166666666668,36380.85833333334,34442.11666666666,26851.024999999998,30723.633333333335,34442.11666666666,28243.8,39367.2,52388.8,33957.9,47599.5,53349.9,24886.0,34879.1,46440.8,22597.4,32991.8,40940.5,16289.1,20734.4,30436.5,bla20
NP_001157789.1,9402.1,7984.5,7322.1,11414.6,10196.6,11251.8,12421.4,11349.9,12581.7,11838.9,12516.0,10331.7,16483.8,10260.258333333333,10295.008333333333,12199.249999999998,8849.966666666667,9468.175000000001,12643.224999999999,10029.425,9881.658333333333,12199.249999999998,9794.591666666669,8736.658333333335,13149.7,11274.7,11150.7,18836.3,15527.5,16405.3,12776.9,10553.5,10566.8,9924.9,8893.2,8931.6,6976.5,5487.3,6258.0,bla21
NP_003118.2,8107.4,10094.1,12342.8,12482.5,13776.1,19471.8,12386.8,13935.0,20310.7,14067.4,22437.8,15435.1,14443.608333333332,13263.141666666668,16946.100000000002,13322.225,12334.958333333336,16483.8,12549.925000000001,12334.958333333336,15860.183333333332,14259.866666666667,17932.100000000002,13717.54166666667,11113.5,16902.3,13264.6,10949.9,19383.5,13034.8,9198.6,13521.3,11341.6,9994.7,16852.3,11944.8,9471.5,13440.6,12543.0,bla22
XP_005264575.1,8045.0,8314.0,12707.0,12502.6,10567.8,21544.9,13734.2,10967.8,22951.9,13844.7,23159.2,11513.9,14013.991666666669,10704.108333333334,17512.56666666667,13387.666666666666,9524.675000000001,18294.325,14126.375,9755.099999999999,18294.325,14013.991666666669,18512.45,10029.425,12292.1,19219.3,10816.3,12163.7,22847.9,10639.9,10317.9,15777.4,9046.2,11330.1,18550.6,9654.3,9449.3,15110.8,10000.2,bla23
XP_011522177.1,5916.6,13268.1,9334.1,9102.2,16970.0,14231.8,9655.0,18643.8,15309.1,9375.8,14853.9,18275.9,10295.008333333333,17932.100000000002,13322.225,10228.083333333334,15547.508333333333,11822.175000000001,10260.258333333333,16108.866666666663,12013.358333333335,9982.141666666668,11608.616666666669,15860.183333333332,8929.8,13879.0,19230.2,8442.7,14187.0,15674.6,5837.8,9441.7,13574.7,6419.2,10388.4,13008.8,5561.1,8358.1,12850.5,bla24
NP_004125.3,7678.7,12907.3,15241.7,11702.2,17984.4,22840.0,12926.3,18979.0,23611.9,13575.7,24619.8,19518.9,13322.225,17512.56666666667,21928.45,12549.925000000001,16326.41666666667,19052.333333333332,13263.141666666668,16483.8,18784.600000000002,13665.291666666666,19497.6,16604.791666666668,11561.6,23230.3,18705.8,12683.9,28475.0,18664.4,9781.4,18597.6,16023.2,10836.1,21763.8,16788.7,7404.6,16460.6,13852.7,bla25
NP_000282.1,11312.1,23619.7,20063.7,13593.7,31594.6,28370.7,15106.4,34012.2,30449.6,14446.5,29622.8,33127.1,22388.74166666667,30057.80833333333,31577.091666666664,14792.933333333332,26170.43333333333,23960.858333333334,15977.533333333335,26851.024999999998,23418.333333333332,14878.300000000001,23960.858333333334,26170.43333333333,17241.8,29842.1,35202.1,18749.5,31284.0,32735.3,15202.9,26891.9,32793.6,16475.2,29688.1,33512.8,14904.6,24709.5,30603.3,bla27
XP_011532005.1,9314.3,10041.2,4534.0,15619.6,16917.2,7458.7,15484.3,16161.7,7445.8,15970.2,7458.7,17164.5,16326.41666666667,13193.95833333333,6399.7249999999985,17932.100000000002,15453.725,6475.908333333334,16483.8,14792.933333333332,6071.425,16604.791666666668,6031.358333333333,14792.933333333332,12864.5,6240.5,14782.2,14343.9,6761.9,16544.9,10709.4,5089.7,11377.7,10904.5,5368.6,11600.5,9195.6,4626.1,10492.5,bla29
NP_004095.4,7646.8,9083.6,5278.8,7838.2,10344.6,5792.7,8575.6,10770.4,6471.6,7384.0,5818.4,9925.7,13263.141666666668,12013.358333333335,7569.316666666666,8793.475,9099.058333333332,4977.825,9051.008333333333,9259.866666666667,5223.275,7908.758333333335,4660.4416666666675,8448.358333333332,12235.0,9025.2,15611.6,10066.2,7386.1,10624.5,7362.8,5251.0,9703.2,7747.6,5635.7,9242.9,6068.6,4088.9,7520.8,bla30
NP_002147.2,6218.6,17563.1,9871.0,10276.0,27908.7,17338.2,10741.5,27891.5,18510.2,11753.4,19421.8,30224.4,10704.108333333334,23418.333333333332,13907.574999999999,11291.275,22905.833333333332,14371.616666666669,11364.016666666668,22388.74166666667,14371.616666666669,11901.666666666666,15547.508333333333,23960.858333333334,8869.5,14262.0,24749.7,9377.0,15707.2,27722.1,7770.9,12503.4,20658.4,7504.2,13224.9,20693.6,5990.5,9674.4,18626.3,bla31
NP_005959.2,18817.6,18001.6,25015.7,33247.9,29559.7,46260.1,36305.1,31614.4,49844.5,37888.5,53641.5,32903.4,36380.85833333334,25046.8,36380.85833333334,36380.85833333334,25046.8,41720.208333333336,41720.208333333336,25046.8,41720.208333333336,44133.950000000004,41720.208333333336,25596.58333333334,29245.4,39862.3,27626.7,31876.6,44992.4,29543.1,23170.1,30686.5,21617.1,23362.5,32125.6,21665.9,16172.1,20522.6,16548.5,bla32
NP_005372.2,16381.7,40061.5,25766.5,33716.5,86268.8,53315.7,34343.4,85835.0,54384.6,36893.8,59083.1,94069.6,33403.38333333333,55790.025,40565.85,37386.46666666666,86470.35833333332,46572.14166666666,36380.85833333334,86470.35833333332,44133.950000000004,37386.46666666666,46572.14166666666,86470.35833333332,24298.8,38021.4,58544.2,26659.6,41372.4,67377.0,20238.2,32315.4,49247.7,20359.4,32819.2,48386.9,13922.7,22352.4,34669.6,bla33
NP_001353228.1,10756.6,10115.0,13463.3,15402.7,14596.5,20408.9,16455.1,15018.3,22306.3,15603.0,21075.9,14243.2,19668.024999999998,13322.225,18512.45,17281.025,13322.225,17749.30833333333,18101.833333333332,13322.225,17749.30833333333,15977.533333333335,16946.100000000002,12334.958333333336,16676.4,21603.2,16284.8,17280.0,23171.3,16083.8,12536.8,16096.2,12311.2,13135.8,17517.2,12452.4,10164.3,12866.4,10585.9,bla34
NP_001952.1,17501.5,23260.7,22419.7,21780.6,27096.2,26213.8,23691.5,33869.8,31047.9,22975.9,27011.1,27835.1,34442.11666666666,29591.774999999998,34442.11666666666,25596.58333333334,21832.466666666667,22388.74166666667,26170.43333333333,26170.43333333333,23960.858333333334,25596.58333333334,21928.45,21504.5,29508.5,36664.4,38721.6,31108.5,38613.6,37006.7,23876.9,31518.6,35431.8,23140.6,31088.8,32412.7,18002.5,22663.5,23127.9,bla35
NP_000691.1,10115.8,18109.6,14755.7,14690.1,24540.6,23682.3,14040.8,23268.5,24849.7,15424.9,24814.1,25572.5,18101.833333333332,25596.58333333334,20796.18333333333,15977.533333333335,20796.18333333333,19830.69166666667,14562.625,19830.69166666667,20119.583333333336,15641.550000000001,20119.583333333336,20513.425,13487.5,20515.4,24853.8,15469.5,24395.6,27106.9,11710.4,17720.5,20840.4,10501.9,16839.5,18153.0,8572.6,12107.2,16278.8,bla36
NP_004437.2,5622.3,12408.9,8691.7,7717.1,14453.0,11079.1,8224.1,15472.4,11709.9,7449.5,11221.5,14571.5,9794.591666666669,16108.866666666663,12334.958333333336,8660.591666666667,13097.608333333332,9259.866666666667,8849.966666666667,13717.54166666667,9300.541666666666,8018.825,8893.558333333332,13097.608333333332,8977.2,13673.0,19822.0,9439.1,14306.6,21551.6,7034.9,10462.9,14974.1,8278.1,11552.9,15649.0,5840.6,9025.8,13725.7,bla37
NP_003290.1,10692.5,17509.4,12960.6,18164.9,27213.5,22082.0,18942.5,28851.4,22697.8,19129.0,24425.6,28641.3,19497.6,22905.833333333332,17932.100000000002,21832.466666666667,21928.45,18784.600000000002,20513.425,23418.333333333332,18101.833333333332,21164.658333333336,19052.333333333332,22388.74166666667,16044.3,19069.1,25758.8,17358.2,19311.2,27078.0,16303.5,18907.5,26214.2,18888.8,21266.2,27997.3,13245.4,15842.4,24172.5,bla38
NP_004915.2,10029.8,11792.5,9730.1,14859.2,15396.7,14371.7,14598.1,15977.1,15123.8,15885.8,15639.4,16527.0,17932.100000000002,15049.575000000003,13553.449999999999,16483.8,14562.625,12013.358333333335,15453.725,14562.625,11901.666666666666,16326.41666666667,12334.958333333336,14443.608333333332,14305.1,13461.7,15241.2,14370.4,15605.2,15129.0,12830.8,12436.9,14776.7,11467.1,11942.1,12597.6,9869.6,9764.3,12531.3,bla39
NP_003283.2,6034.5,5792.6,5876.3,11120.7,8265.1,11207.4,12116.6,8943.2,12168.3,12487.0,12744.1,8605.2,10479.708333333334,7341.450000000001,8212.491666666667,12013.358333333335,7162.716666666668,9438.833333333334,12334.958333333336,7447.958333333335,9644.241666666667,12549.925000000001,9982.141666666668,7105.266666666666,9442.5,9021.5,8253.1,9898.7,10484.8,9196.1,7529.0,6818.2,6647.1,7417.8,7316.1,6941.3,5583.8,5104.2,5656.3,bla40
NP_005336.3,4662.3,9841.8,8380.2,7720.0,14038.9,12906.1,7727.1,14900.2,14378.1,8573.4,13834.4,14810.2,8595.358333333335,13097.608333333332,11760.775000000001,8698.85,12457.700000000003,10666.766666666666,8448.358333333332,12997.666666666666,11291.275,9143.324999999999,10704.108333333334,13263.141666666668,7175.7,12072.3,14612.0,8942.8,16711.8,13922.5,6058.7,10635.2,14329.4,5685.3,10855.7,10892.7,3945.9,7278.7,9278.9,bla41
NP_009057.1,10823.9,4171.8,11077.6,13924.2,4991.4,15359.1,14692.8,5334.5,16097.9,14594.6,15819.9,5395.0,20119.583333333336,5451.216666666666,15453.725,15049.575000000003,4416.408333333334,12997.666666666666,15641.550000000001,4686.883333333332,12882.683333333334,15349.974999999999,12457.700000000003,4630.25,15850.8,16699.3,5992.3,17157.6,18969.5,5603.6,13594.0,14267.9,5221.7,15300.7,16359.4,5174.0,13253.8,13562.0,4719.0,bla42
NP_001367.2,6425.4,9439.1,5764.2,7055.8,10177.7,7273.6,8075.6,11533.4,8408.8,7285.8,7535.1,9814.2,11291.275,12549.925000000001,8092.3499999999985,8018.825,8793.475,6230.849999999999,8736.658333333335,10228.083333333334,6879.183333333334,7749.583333333333,6121.791666666667,8354.366666666667,9721.3,9067.9,15158.7,9095.8,9364.5,13868.5,7709.2,7013.1,11666.5,8256.0,8155.6,12768.6,7398.1,6209.7,11901.2,bla43
NP_002853.2,9631.6,15601.9,14107.7,12823.2,19393.2,18375.3,13599.9,20178.7,19948.9,12691.0,18517.6,19175.7,17281.025,20796.18333333333,19497.6,13553.449999999999,16946.100000000002,15228.483333333332,13907.574999999999,16946.100000000002,15228.483333333332,12643.224999999999,14443.608333333332,16326.41666666667,17006.6,24687.3,26593.3,13490.4,21971.7,23203.6,15428.9,22388.2,24848.7,16518.8,24626.8,25897.7,12603.0,18542.6,20885.7,bla44
NP_000909.2,10886.1,11608.9,10482.7,15638.4,17676.9,18753.3,16760.1,18110.5,20375.6,16715.0,20319.6,17947.5,20513.425,14878.300000000001,14371.616666666669,18101.833333333332,15977.533333333335,15349.974999999999,18512.45,15860.183333333332,15977.533333333335,17932.100000000002,16326.41666666667,15453.725,15437.8,16376.0,17558.7,17631.5,17807.3,15767.2,17441.1,18679.5,20444.6,18768.5,20946.8,20364.4,15212.6,12669.8,16343.1,bla45
NP_114032.2,12817.9,28372.3,24906.8,18791.0,39394.6,38208.2,18727.1,40632.5,41102.8,19061.0,41084.5,41272.4,25596.58333333334,36380.85833333334,35382.425,22905.833333333332,32608.00833333333,34442.11666666666,19668.024999999998,32608.00833333333,35382.425,20796.18333333333,35382.425,30723.633333333335,20956.7,41850.6,46367.4,20570.7,40156.8,43868.1,15021.1,30290.8,32971.1,14306.9,29720.6,31343.1,11873.6,21973.5,26583.4,bla46
NP_001888.2,4621.6,3862.0,4831.5,6306.4,5100.1,7084.7,6811.8,5231.0,7360.0,6781.7,7398.5,5292.0,8354.366666666667,5041.358333333334,6879.183333333334,7105.266666666666,4512.516666666666,6060.591666666667,7341.450000000001,4560.391666666667,5959.558333333333,7080.966666666666,5959.558333333333,4533.625000000001,6563.4,6752.5,5512.6,6339.7,7629.8,4953.0,7411.4,7078.8,5941.3,7437.2,7857.5,5738.0,6396.2,6283.8,5390.1,bla47
XP_011543356.1,4836.3,7800.0,6148.1,6669.4,9728.8,10329.5,7244.7,10929.0,11991.1,7303.9,11216.3,10612.6,8849.966666666667,10122.108333333334,8660.591666666667,7642.141666666666,8411.199999999999,8660.591666666667,7941.058333333332,9703.941666666668,9468.175000000001,7771.449999999998,8849.966666666667,9027.266666666668,7332.5,10668.6,11730.0,7615.6,11980.0,12258.2,5033.3,7022.6,8281.4,5125.4,7216.9,7981.0,4191.4,5228.5,7174.5,bla48
NP_001276674.1,12354.3,25603.9,18063.7,21262.0,38583.9,29355.3,27698.6,45579.8,33015.1,25079.2,32573.8,42856.9,24474.033333333336,32608.00833333333,26851.024999999998,25046.8,30723.633333333335,24474.033333333336,29591.774999999998,34442.11666666666,26170.43333333333,27784.68333333333,25596.58333333334,35382.425,20026.0,28549.3,39622.3,24397.4,32426.9,37535.8,18932.7,24536.5,38189.4,19554.2,25376.4,36145.6,11532.6,18054.7,25205.4,bla49
NP_004492.2,324.6,806.0,1362.6,763.5,1990.7,2761.1,979.6,2477.8,3673.4,1045.9,3848.4,2445.9,475.5249999999999,1040.85,1915.3833333333332,760.0,1781.091666666667,2429.9333333333334,948.8250000000002,2191.5333333333333,3016.0833333333335,1002.75,3164.2833333333333,2147.1000000000004,665.5,2491.9,1732.9,628.9,2504.4,1713.4,476.9,1850.8,1222.3,416.5,1603.2,1008.4,215.8,862.0,574.7,bla50
NP_002145.3,5910.9,19261.7,11964.2,9385.6,28657.0,19060.4,10109.4,29817.0,20054.1,9731.1,19242.5,28737.0,10260.258333333333,26170.43333333333,16326.41666666667,10448.491666666667,23960.858333333334,15860.183333333332,10800.566666666668,23960.858333333334,15453.725,10228.083333333334,15228.483333333332,22905.833333333332,9153.3,19154.8,30071.0,10203.2,16968.6,26933.3,7598.1,16185.6,25797.1,7786.6,16212.9,24684.5,5926.7,12462.4,21851.6,bla51
NP_000692.2,6380.3,7391.1,6534.4,8312.8,8876.4,8141.1,8938.5,9258.0,9184.5,8598.1,8500.1,8953.2,11054.716666666667,9576.608333333335,9259.866666666667,9300.541666666666,7660.391666666667,6890.841666666667,9468.175000000001,7864.5,7474.233333333334,9259.866666666667,6879.183333333334,7474.233333333334,10276.4,9688.9,11188.5,11500.6,11002.6,12105.5,9051.4,8496.1,10358.7,10462.5,9994.4,11004.0,8398.0,8060.3,10275.3,bla52
XP_016884687.1,2506.0,2028.9,2626.8,3174.9,2905.3,3802.9,3724.6,2861.0,4017.8,3211.3,3982.0,2816.3,4219.575,2647.575,3722.7000000000003,3410.6416666666664,2573.5833333333335,3265.5083333333337,3820.283333333333,2542.7583333333337,3302.3916666666664,3273.641666666667,3260.141666666668,2449.6416666666664,4094.4,5155.4,3132.7,3764.5,4735.5,3088.4,3132.3,3520.2,2410.6,3655.0,4320.9,2711.3,2929.1,3282.8,2268.2,bla53
NP_001002858.1,10281.7,10207.8,11602.3,15674.1,14547.6,18992.0,16670.0,15835.3,20609.9,16679.0,19989.2,14552.9,18512.45,13553.449999999999,16108.866666666663,18294.325,13193.95833333333,15453.725,18294.325,14371.616666666669,16326.41666666667,17749.30833333333,15977.533333333335,12997.666666666666,15567.3,17972.9,15635.2,18450.0,20879.0,15242.1,16300.4,18420.4,17187.1,14068.5,17361.2,14304.4,10517.4,11164.9,10629.0,bla54
NP_001609.2,6519.8,10317.1,13206.9,7271.5,14582.2,18165.2,7320.6,14393.5,18841.5,7742.3,19275.5,14736.8,11663.666666666666,13907.574999999999,18101.833333333332,8294.658333333333,13263.141666666668,14878.300000000001,8058.583333333333,12643.224999999999,14792.933333333332,8294.658333333333,15349.974999999999,13193.95833333333,8816.0,19493.2,15901.5,8648.2,20829.1,16352.0,5849.0,13203.4,10063.1,4923.1,12519.5,9658.6,4578.8,9811.3,7236.1,bla55
NP_001596.2,5424.9,12705.3,11123.4,6471.4,14231.3,13758.4,6904.9,15064.0,14784.6,6383.7,13654.8,14334.2,9468.175000000001,16604.791666666668,15641.550000000001,7216.599999999999,12765.258333333333,11364.016666666668,7413.608333333334,13387.666666666666,11663.666666666666,6768.733333333333,10606.716666666667,12549.925000000001,8620.1,16931.8,19168.1,9239.6,20391.9,20469.0,7248.7,14343.7,16338.2,7554.9,15577.3,16794.3,5733.9,11938.8,14316.7,bla56
NP_004902.1,5806.0,14073.2,9822.5,8428.4,21948.4,15519.4,9167.9,21702.0,17129.4,8811.3,16405.9,23991.7,10192.508333333333,19299.8,13717.54166666667,9404.458333333334,18294.325,13097.608333333332,9703.941666666668,18101.833333333332,13553.449999999999,9404.458333333334,12997.666666666666,19497.6,7809.8,13889.3,20473.5,8693.4,16383.7,21012.5,7885.6,14445.4,21229.6,9238.0,17438.9,24071.3,7138.7,12847.0,21216.1,bla57
NP_001121089.1,10529.0,15222.9,15215.6,13050.5,21380.0,21938.4,13589.6,23724.6,23143.9,13095.0,22810.3,21719.5,19052.333333333332,20513.425,21832.466666666667,13824.974999999999,18101.833333333332,18512.45,13824.974999999999,20119.583333333336,18512.45,12997.666666666666,18294.325,17749.30833333333,15657.0,23374.0,24011.9,17217.9,28458.7,30194.3,14003.3,20522.9,21561.9,14753.8,22610.7,23506.4,13721.5,19500.4,20236.4,bla58
NP_821133.1,1968.2,5074.2,2547.7,2412.5,5349.4,3054.7,2452.4,5265.3,3090.6,2496.0,3013.7,5493.7,3219.283333333334,6562.691666666667,3590.5083333333337,2507.9833333333336,4697.925,2647.575,2464.6583333333333,4646.091666666666,2600.4583333333335,2486.225,2498.991666666667,4708.341666666666,2710.2,3542.2,6671.6,2766.7,4151.9,7020.4,2085.7,2732.1,5413.1,1873.7,2531.0,4506.6,1668.4,2202.0,4391.4,bla59
NP_001138880.1,9904.6,6676.2,7234.1,15538.6,10531.5,11145.6,15919.6,10780.7,11745.2,16937.6,12111.1,11507.3,17749.30833333333,8411.199999999999,9982.141666666668,17512.56666666667,9468.175000000001,9341.216666666665,17512.56666666667,9300.541666666666,9341.216666666665,18784.600000000002,9524.675000000001,9982.141666666668,14950.4,10637.7,10623.1,15868.0,11461.7,9732.1,11485.0,8492.8,8485.7,11254.1,8416.4,7830.8,8381.8,6376.8,5985.9,bla60
