Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,-log10_pvalues1,s3_avg,p_value_s3,-log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s3,log2_fc_s3,expression_s3
NP_005361.2,1831.185185185185,598.2185185185184,1396.8740740740743,1922.0074074074075,622.8518518518518,1347.6666666666663,1609.9111111111108,594.848148148148,1536.188888888889,1882.411111111111,581.2370370370371,1310.085185185185,1919.4,568.4037037037037,1410.0851851851853,1945.3222222222216,690.3888888888889,1455.051851851852,2057.207407407407,567.4629629629629,1486.2925925925929,1788.722222222222,549.7629629629631,1225.4444444444443,1809.8333333333333,548.8074074074075,1316.448148148148,1297.5086419753086,0.9682383265132746,0.014017730346455632,1257.9111111111113,0.9748277170775947,0.011072131105364017,1.0173139933887978,0.024765034936916053,,0.9862674778214977,-0.019949133279159457,
NP_000261.2,939.1296296296294,252.3,32.65555555555556,866.3703703703702,203.42592592592592,35.61111111111112,890.2481481481482,212.12592592592597,35.99999999999999,835.4407407407408,205.54444444444445,33.01481481481481,863.9037037037039,198.97407407407405,31.88148148148148,719.9148148148148,155.2962962962963,36.459259259259255,1105.8814814814816,213.8,38.22222222222223,928.577777777778,180.2296296296296,37.262962962962966,972.562962962963,230.11111111111111,33.77037037037037,368.46913580246905,0.9205931214953562,0.035932274399431904,358.0,0.8979779427708996,0.04673433087226472,0.9030477786888469,-0.14712577467409468,,0.8773899177919717,-0.18870996664179357,
NP_055070.1,2050.918518518519,1726.9888888888893,2250.337037037037,2015.5296296296292,1567.233333333333,2645.655555555556,1677.2740740740744,1282.374074074074,2404.1666666666674,1995.05925925926,1878.1777777777784,2329.2222222222226,1584.2259259259258,1323.4074074074076,2273.0814814814817,1283.9777777777776,1280.4148148148151,2387.759259259259,1828.6222222222225,1508.3777777777775,2356.785185185185,1967.8740740740743,1578.025925925926,2598.2185185185185,1731.103703703704,1272.0703703703707,3109.522222222222,2076.1395061728394,0.8605752087814718,0.06521116911157035,2067.486419753087,0.7899900012055775,0.10237840548009525,1.0332060313610127,0.047127970354483316,,1.028899759527066,0.04110243463461076,
NP_056444.3,3028.937037037037,3307.992592592592,3902.0,3010.4555555555557,3307.992592592592,3604.518518518519,2711.5222222222224,3016.777777777778,3067.125925925926,3028.937037037037,3377.8296296296294,3789.5592592592593,2871.929629629629,3067.125925925926,3201.7925925925924,1785.1407407407412,3086.177777777778,3521.2518518518523,3047.1925925925925,2955.05925925926,3016.777777777778,2640.844444444444,3036.2481481481486,2993.4592592592603,2802.6111111111104,2752.944444444444,2623.814814814815,3307.6555555555556,0.753018430020736,0.12319439437253034,3398.775308641975,0.9685953937816405,0.013857600600208957,0.9691410162592952,-0.04522149255341955,,0.9958390471226195,-0.006015509905440984,
NP_001243615.1,582.1370370370371,1619.6592592592594,1252.262962962963,569.2111111111111,1578.025925925926,1173.0814814814814,564.6296296296297,1887.255555555556,1238.0481481481477,505.4555555555556,1490.2111111111112,1118.1185185185186,534.9,1666.2555555555557,1215.4851851851852,405.4444444444445,1365.3666666666668,951.6,592.0333333333334,1746.6074074074074,1259.2,458.6703703703704,1282.374074074074,925.3814814814812,560.6518518518518,1690.2037037037037,1182.925925925926,1106.7728395061729,0.9209758930915557,0.03575173748429498,1037.9283950617285,0.7995596627178433,0.09714912388476206,0.9612801255849265,-0.05697118844390855,,0.9014857451672537,-0.14962341580778982,
NP_002860.2,69.0037037037037,1424.737037037037,95.42962962962964,77.9851851851852,1313.0925925925924,90.63333333333334,64.65185185185186,1084.1370370370369,92.52962962962962,72.22592592592592,1336.8592592592595,85.30740740740741,60.43333333333334,1092.5148148148148,81.9111111111111,64.35185185185186,1361.0296296296294,106.35185185185183,73.17407407407407,1310.085185185185,95.79259259259258,74.48518518518519,1358.3703703703704,100.61851851851851,82.76666666666667,1368.2851851851851,93.3,493.9037037037037,0.9557739364503874,0.019644816679955764,498.1308641975309,0.9614002032251757,0.017095790404206675,0.9323802776198156,-0.10100960702399123,,0.940360215905807,-0.08871459112561002,
XP_005261192.1,1268.040740740741,2887.8333333333326,435.9333333333333,1217.3814814814818,3097.833333333334,438.4592592592594,1085.8740740740743,3354.977777777778,580.1851851851852,1274.188888888889,3183.259259259259,428.137037037037,1221.3481481481483,3789.5592592592593,562.3814814814815,1464.5814814814817,4097.577777777777,493.1814814814814,1152.5777777777778,3719.025925925925,598.2185185185184,1505.8555555555556,4822.444444444444,561.5703703703703,1231.3000000000002,4716.077777777777,769.2518518518519,1584.5580246913585,0.9621602961196374,0.016752568377041813,1628.5283950617284,0.9326273407485842,0.03029185698983431,1.035251188106354,0.04998085841816216,,1.063978680225974,0.08946924271840857,
NP_001307156.1,1064.2370370370368,367.0666666666667,180.83333333333331,1022.351851851852,350.35185185185185,175.19629629629625,964.6000000000004,248.52962962962968,187.81111111111107,1050.5666666666666,346.89629629629627,187.01111111111112,1141.8111111111111,314.60740740740744,201.99259259259256,1031.477777777778,313.9814814814814,156.5740740740741,1083.0407407407408,325.3555555555555,174.3296296296296,1002.1777777777776,317.1518518518518,178.4037037037037,982.914814814815,211.38888888888889,198.1888888888889,515.9666666666667,0.9569515639997738,0.01911004343524547,528.158024691358,0.981691420590986,0.008025004468668084,0.960154108762926,-0.05866211186141135,,0.9828408117130013,-0.024970329135299927,
NP_001003701.1,1529.1407407407407,1439.7888888888888,307.5851851851853,1429.2703703703703,1318.837037037037,317.1518518518518,1573.977777777778,1433.9666666666667,365.39259259259256,1206.9777777777776,1188.6111111111113,326.14444444444445,1361.0296296296294,1206.9777777777776,352.32222222222214,698.166666666667,683.1370370370373,347.9629629629629,1473.2666666666669,1288.1518518518517,313.9814814814814,1076.6703703703704,972.562962962963,320.4925925925926,1452.4925925925925,1290.7407407407406,369.0703703703704,1021.753086419753,0.9005708846203003,0.04548209784959063,907.2444444444445,0.7260144725640347,0.13905472187283754,0.9355243093666598,-0.09615295286217142,,0.8306793917204256,-0.26763633175971757,
NP_001307540.1,593.3185185185185,800.9962962962965,959.1,627.6296296296297,843.7925925925927,999.1222222222224,686.0333333333333,676.5185185185185,1148.6592592592592,581.2370370370371,920.3629629629628,981.3703703703702,646.1629629629632,896.625925925926,1053.3444444444444,683.1370370370373,1221.3481481481483,1305.0888888888887,752.5481481481481,915.0333333333334,1150.574074074074,557.4111111111112,854.2814814814815,1021.1666666666666,522.2037037037037,512.2814814814816,852.6222222222221,823.5148148148149,0.808817437766312,0.09214949410838978,827.6567901234566,0.8049640801551377,0.09422349868612333,1.0497700740610176,0.07007337614280879,,1.0550500297440122,0.0773114121573408,
NP_005711.1,1890.8111111111116,178.98148148148144,1410.0851851851853,2008.5740740740732,199.4333333333334,1433.9666666666667,2039.585185185185,152.1037037037037,1627.7407407407406,1856.7296296296292,177.237037037037,1378.6481481481478,2239.4333333333334,198.1888888888889,1616.7888888888886,1904.8518518518515,182.8629629629629,1444.8592592592593,2410.5333333333338,217.1407407407408,1578.025925925926,2391.1222222222223,314.60740740740744,1648.0555555555557,2819.888888888888,286.8111111111112,1870.6,1213.991358024691,0.945159619976998,0.024494840992034295,1137.538271604938,0.9764454798194481,0.01035200068599198,1.0465810314751365,0.0656840164971932,,0.9806708835027196,-0.028159050598111808,
NP_060014.3,814.0222222222221,519.074074074074,398.9666666666667,854.2814814814815,564.6296296296297,378.70740740740735,948.8888888888888,577.5259259259258,495.1888888888889,831.9407407407407,580.1851851851852,367.0666666666667,1087.6444444444444,584.1925925925926,474.3111111111112,1079.1555555555558,644.0333333333335,377.8481481481481,883.8592592592594,516.0333333333333,431.2851851851852,872.2962962962964,596.0999999999999,375.3444444444444,842.2555555555556,531.1148148148148,443.3703703703704,599.2061728395062,0.9119009602152768,0.04005232698699807,593.0641975308641,0.9355181729464593,0.028947771676841882,1.0378482520308687,0.053595516868453236,,1.0272101133950737,0.038731311693856074,
XP_011511125.1,2552.611111111112,8.177777777777779,0.0,2499.103703703703,7.2592592592592595,0.0,2414.12962962963,9.088888888888889,0.0,2650.7666666666664,11.655555555555557,0.0,2354.0111111111105,9.403703703703703,0.0,2043.7,9.607407407407406,0.0,2650.7666666666664,7.640740740740741,0.0,2673.2740740740737,7.87037037037037,0.0,2438.914814814815,8.703703703703704,0.0,835.4543209876541,0.9885567590259239,0.004998390160033952,887.474074074074,0.9792521722135361,0.009105456410879339,0.9787464221818212,-0.030992966261439443,,1.0396882905007565,0.05615105802532825,
