Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
NP_004385.1,3179.0,515.6,533.8,2903.7,492.1,542.4,1167.0,266.1,263.7,2819.4,482.3,551.3,1830.1,403.2,391.7,2216.6,596.5,566.3,1899.0,348.5,361.2,1809.9,377.9,367.0,1170.5,264.5,224.9,3104.185185185185,393.3370370370371,501.937037037037,2961.5296296296297,388.4962962962964,518.3296296296296,1828.6222222222225,311.8444444444445,354.5296296296296,2752.944444444444,356.67037037037045,521.1888888888889,1916.9370370370368,321.7851851851852,369.0703703703704,2157.4333333333334,453.788888888889,540.1074074074072,2354.0111111111105,338.05185185185195,413.2185185185186,2134.892592592593,350.35185185185185,422.8962962962963,1769.533333333334,338.05185185185195,299.98148148148147,1289.4518518518519,0.9731206812054892,0.011833297520340496,831.6654320987656,0.6541863772922983,0.18429850381908186,1210.2679012345677,0.9218775476461945,0.035326762149574566,0.967219642655396,-0.0480845512166051,,0.6238334071087388,-0.6807672818681514,down-regulated,0.9078236502341981,-0.13951602164664223,
NP_004773.1,101.5,278.4,0.0,109.5,277.5,0.0,56.0,124.7,0.0,89.7,234.5,0.0,65.3,199.5,0.0,136.6,314.8,0.0,70.8,172.7,0.0,84.4,224.2,0.0,59.6,170.9,0.0,100.14444444444446,192.24814814814815,0.0,116.94074074074072,202.7555555555556,0.0,81.9111111111111,118.18518518518522,0.0,94.12962962962963,159.11111111111111,0.0,72.22592592592592,136.8814814814815,0.0,137.5037037037037,222.8037037037037,0.0,93.3,149.27037037037033,0.0,106.35185185185183,187.81111111111107,0.0,95.03333333333332,196.40370370370368,0.0,106.56543209876543,0.9157973125159912,0.03820063528002685,66.69876543209877,0.6677806255715684,0.1753661853556494,84.41358024691358,0.8656514834881593,0.06265692237392262,1.0933802852582777,0.12879526764799779,,0.6843411952473842,-0.547212299072117,down-regulated,0.8660983457046588,-0.20739724221633182,
NP_006433.2,0.0,506.5,1941.6,0.0,569.7,2332.2,0.0,208.0,795.8,0.0,533.4,2200.5,0.0,415.0,1498.2,0.0,332.2,929.1,0.0,321.5,1227.3,0.0,324.6,1125.3,0.0,182.0,644.9,0.0,381.1333333333333,1594.5222222222224,0.0,463.7962962962963,2001.177777777778,0.0,227.99629629629624,986.3851851851848,0.0,413.9296296296296,1867.522222222222,0.0,332.1851851851852,1263.537037037037,0.0,238.23703703703708,852.6222222222221,0.0,309.98888888888894,1234.574074074074,0.0,299.0962962962964,1188.6111111111113,0.0,212.87037037037044,811.3555555555556,821.6580246913582,0.8436091496132612,0.073858718637385,404.79382716049366,0.681260901786242,0.16668653492047503,760.4839506172839,0.8976498221911139,0.04689305080472126,1.2476740022533543,0.3192410297369365,,0.6146726731117844,-0.7021097471888628,down-regulated,1.154782191377639,0.20762076415061842,
NP_938408.1,221.1,336.6,0.0,179.7,290.4,0.0,94.0,142.6,0.0,210.8,309.0,0.0,140.7,229.9,0.0,197.5,253.1,0.0,117.3,203.0,0.0,142.8,226.5,0.0,67.4,124.9,0.0,208.23703703703703,239.47407407407408,0.0,183.25925925925927,214.4,0.0,131.24814814814815,142.7851851851852,0.0,202.38888888888889,219.0888888888889,0.0,144.74444444444447,164.2037037037037,0.0,202.38888888888889,171.40740740740742,0.0,142.7851851851852,179.61481481481482,0.0,169.35925925925926,191.18148148148143,0.0,106.35185185185183,130.8925925925926,0.0,132.5530864197531,0.8764411471271958,0.05727724139111164,91.34444444444445,0.553632640352827,0.2567783132275254,140.4925925925926,0.9364328616961612,0.028523354263225685,0.8882050263893716,-0.17103535928769406,,0.612076239638656,-0.7082167300443303,down-regulated,0.9414056683377178,-0.08711155516155962,
NP_001165948.1,82.0,433.6,0.0,67.9,383.2,0.0,33.7,168.5,0.0,79.9,368.3,0.0,55.3,309.7,0.0,67.4,344.5,0.0,46.6,262.9,0.0,54.8,273.7,0.0,27.3,136.1,0.0,82.3,322.40740740740745,0.0,74.48518518518519,302.69999999999993,0.0,52.92962962962964,180.2296296296296,0.0,83.84444444444442,270.6,0.0,62.8,233.23333333333335,0.0,79.1222222222222,245.81111111111116,0.0,64.65185185185186,242.33333333333331,0.0,73.5925925925926,235.2555555555555,0.0,50.11851851851852,144.74444444444447,0.0,125.72839506172836,0.9482663857541389,0.023069644084047942,77.71975308641974,0.6393469996461636,0.19426336855735976,118.14814814814815,0.9004602449059085,0.04553545641370697,0.93199476530827,-0.10160624310330908,,0.5761180917169239,-0.795563531705763,down-regulated,0.8758041932443191,-0.1913197376312787,
NP_001177921.1,60.3,94.7,0.0,48.2,88.2,0.0,28.3,49.3,0.0,54.8,80.2,0.0,52.7,91.1,0.0,55.6,78.2,0.0,46.8,91.7,0.0,69.3,122.0,0.0,38.5,83.2,0.0,67.33333333333333,46.24814814814813,0.0,59.74444444444445,47.10000000000001,0.0,46.64074074074074,26.74074074074074,0.0,66.11851851851851,41.04074074074074,0.0,59.4148148148148,43.63333333333334,0.0,66.57407407407406,37.72222222222223,0.0,65.71111111111111,62.8,0.0,90.63333333333334,93.78888888888888,0.0,64.35185185185186,78.65555555555557,0.0,35.61481481481482,0.937604813131806,0.027980171898490162,24.46049382716049,0.6107645116702716,0.21412620546226163,35.71975308641975,0.9420942102226595,0.02590566521773272,0.9406854273323119,-0.08821573994821272,,0.6460690644666905,-0.6302396983308122,down-regulated,0.9434571363354747,-0.08397112088885943,
NP_001093139.1,0.0,82.9,66.1,0.0,76.3,63.2,0.0,35.7,30.7,0.0,81.4,61.1,0.0,48.6,37.6,0.0,90.9,66.2,0.0,42.5,37.0,0.0,50.2,35.8,0.0,30.7,24.7,0.0,38.66666666666666,78.65555555555557,0.0,38.22222222222223,80.67407407407407,0.0,14.774074074074074,57.7925925925926,0.0,41.8962962962963,77.9851851851852,0.0,13.78148148148148,54.08148148148147,0.0,46.64074074074074,87.47407407407407,0.0,15.307407407407403,60.43333333333334,0.0,21.81481481481482,61.88148148148147,0.0,13.5,52.088888888888896,39.6320987654321,0.9879055411741797,0.005284578598574069,24.188888888888894,0.6309082430429136,0.2000337983434776,39.9604938271605,0.9800024809593955,0.008772824852799609,1.0134166745588282,0.01922747198909863,,0.6185244814849892,-0.6930973960187798,down-regulated,1.0218139344003536,0.031132514908983944,
NP_060587.8,0.0,34.4,1308.3,0.0,30.1,1181.6,0.0,24.8,589.2,0.0,31.9,1250.5,0.0,33.3,1013.7,0.0,25.8,1070.3,0.0,24.5,875.7,0.0,31.1,1057.9,0.0,22.3,547.0,0.0,10.10740740740741,1124.2888888888888,0.0,9.607407407407406,1062.151851851852,0.0,9.403703703703703,752.5481481481481,0.0,10.396296296296295,1098.5555555555557,0.0,10.22222222222222,886.8259259259258,0.0,7.940740740740741,954.1851851851852,0.0,8.996296296296295,913.7370370370372,0.0,11.655555555555557,1120.2259259259258,0.0,9.088888888888889,684.5962962962964,357.2530864197531,0.9695064225421225,0.013449309570974906,253.98395061728397,0.7976296671983146,0.0981987011596555,369.6506172839506,0.9878048895234495,0.0053288284601582725,0.9447838138739157,-0.08194384632911592,,0.6716804826845411,-0.5741529863915258,down-regulated,0.9775700568421122,-0.03272799907910469,
NP_001001888.3,0.0,647.7,46.3,0.0,656.9,50.9,0.0,270.6,14.0,0.0,651.5,42.8,0.0,423.6,35.3,0.0,622.5,34.0,0.0,468.1,32.7,0.0,524.1,34.4,0.0,269.0,14.7,0.0,513.0703703703704,61.40000000000001,0.0,544.5518518518519,69.0037037037037,0.0,316.2814814814815,36.459259259259255,0.0,513.0703703703704,60.8037037037037,0.0,340.30000000000007,51.03333333333334,0.0,480.2851851851851,53.566666666666656,0.0,477.4,54.433333333333344,0.0,502.88518518518526,58.17777777777778,0.0,344.79999999999995,39.99259259259258,204.51851851851856,0.9585464618106312,0.018386831540283942,117.58024691358025,0.7210012244680661,0.14206399772263362,191.29135802469136,0.9993485254528048,0.00028302400242752015,1.0680369035568997,0.09496149689317943,,0.6140277356921352,-0.7036242711457121,down-regulated,0.998962006872675,-0.001498285276773256,
NP_003174.3,352.3,265.1,0.0,276.1,230.7,0.0,118.7,109.7,0.0,493.1,263.8,0.0,214.3,211.7,0.0,350.3,250.7,0.0,275.6,171.6,0.0,269.4,180.2,0.0,101.3,119.3,0.0,327.6629629629629,182.16666666666663,0.0,276.1925925925926,165.362962962963,0.0,169.84074074074073,99.03703703703702,0.0,456.2814814814814,180.2296296296296,0.0,216.32962962962964,148.5074074074074,0.0,341.95925925925934,170.64444444444447,0.0,319.97407407407405,148.5074074074074,0.0,302.69999999999993,147.05555555555554,0.0,156.5740740740741,121.94444444444446,0.0,147.1851851851852,0.8637473615021456,0.06361326625949204,89.62592592592591,0.5066121795931304,0.2953243734351187,212.17037037037036,0.8097113657763974,0.09166976456557935,0.8660845307800719,-0.20742025447844673,,0.5273875078094352,-0.9230646962954767,down-regulated,1.2484780681999796,0.3201704779124683,
NP_001265488.1,32.9,32.4,0.0,33.3,33.5,0.0,12.1,14.0,0.0,33.6,29.1,0.0,28.5,21.6,0.0,26.1,24.1,0.0,21.8,19.8,0.0,24.6,28.0,0.0,10.0,19.3,0.0,41.51481481481481,8.996296296296295,0.0,44.48888888888888,10.396296296296295,0.0,22.7962962962963,5.737037037037037,0.0,43.97407407407409,9.188888888888888,0.0,38.66666666666666,6.666666666666665,0.0,33.77037037037037,7.2592592592592595,0.0,35.99999999999999,7.114814814814815,0.0,38.22222222222223,10.396296296296295,0.0,22.50740740740741,8.3,0.0,18.29506172839506,0.9407463213114016,0.02652747126723452,9.511111111111113,0.6439358212241982,0.19115741505806894,17.720987654320993,0.9639826876549957,0.015930765602789793,1.0865962751136529,0.11981600652618928,,0.564892212934448,-0.8239524816955442,down-regulated,1.0525003666226724,0.07382073583287735,
NP_001357372.1,31.4,18.8,0.0,30.1,14.8,0.0,11.5,11.0,0.0,35.4,17.0,0.0,19.6,15.6,0.0,23.7,13.0,0.0,11.7,7.3,0.0,10.0,2.6,0.0,6.3,4.2,0.0,39.466666666666654,4.885185185185184,0.0,40.66296296296296,4.766666666666667,0.0,22.50740740740741,4.166666666666666,0.0,46.24814814814813,5.374074074074074,0.0,26.74074074074074,4.766666666666667,0.0,31.46666666666667,3.5407407407407407,0.0,22.7962962962963,2.362962962962963,0.0,21.31851851851852,2.362962962962963,0.0,20.1,2.362962962962963,0.0,15.143209876543208,0.9849163906429494,0.006600635110082903,8.891358024691359,0.7052793939633906,0.1516388046832929,17.207407407407402,0.9056562428822829,0.043036614849534326,1.0243006263048018,0.03463920012978645,,0.6014196242171191,-0.7335561513206241,down-regulated,1.1639248434237994,0.21899790401905866,
NP_835227.1,798.2,234.9,0.0,731.8,217.8,0.0,332.0,108.9,0.0,723.1,202.6,0.0,534.8,163.4,0.0,583.9,181.7,0.0,496.3,138.8,0.0,622.3,190.4,0.0,331.2,101.2,0.0,737.5777777777777,159.55185185185186,0.0,691.5666666666666,153.24074074074073,0.0,472.39259259259256,98.14074074074072,0.0,654.4296296296296,133.79259259259257,0.0,500.6481481481482,108.68518518518516,0.0,544.5518518518519,116.94074074074072,0.0,579.2037037037035,112.54074074074076,0.0,691.5666666666666,157.92222222222222,0.0,488.92222222222233,99.03703703703702,0.0,281.60246913580244,0.9574153718464684,0.018899603954023382,190.17777777777778,0.7070168446785334,0.15057023901245095,262.7407407407407,0.909616050322377,0.04114188505631288,0.9416781917638559,-0.08669397609724831,,0.6359541748374445,-0.6530052823912964,down-regulated,0.8786046031582206,-0.18671403691339078,
NP_851939.1,0.0,404.5,125.2,0.0,299.0,129.8,0.0,144.5,50.6,0.0,435.4,136.8,0.0,259.8,95.6,0.0,289.2,116.3,0.0,228.9,69.8,0.0,231.8,92.4,0.0,131.6,53.8,0.0,305.0037037037037,137.88518518518518,0.0,224.76666666666677,145.9185185185185,0.0,145.25555555555556,81.9111111111111,0.0,325.3555555555555,157.30740740740742,0.0,194.2259259259259,103.02592592592596,0.0,201.3925925925925,134.91481481481486,0.0,205.54444444444445,93.0185185185185,0.0,200.5111111111111,129.95555555555555,0.0,136.8814814814815,89.29259259259261,123.56172839506176,0.838407197056094,0.07654500227312055,75.72222222222221,0.5173221357259061,0.2862389381423646,160.88765432098765,0.9230132134330353,0.0347920817693436,0.8369710653955512,-0.2567503461044489,,0.5129202207727044,-0.9631936473126925,down-regulated,1.0898059876233481,0.12407132251889344,
NP_000989.1,152.9,0.0,1783.0,150.7,0.0,1714.6,100.3,0.0,680.4,161.4,0.0,1415.1,151.6,0.0,1304.6,157.7,0.0,1194.5,119.4,0.0,1195.7,99.2,0.0,1064.9,92.0,0.0,825.0,147.05555555555554,0.0,1471.5222222222224,153.6222222222222,0.0,1439.7888888888888,140.23333333333332,0.0,863.9037037037039,161.25555555555553,0.0,1202.877777777778,155.93333333333334,0.0,1114.7333333333331,159.55185185185186,0.0,1053.3444444444444,144.74444444444447,0.0,1202.877777777778,121.30740740740735,0.0,1130.325925925926,140.94074074074075,0.0,996.2518518518516,531.137037037037,0.9903761162698397,0.004199841564351447,334.7123456790124,0.7279461544908217,0.13790074386329038,454.71111111111117,0.8948678710555867,0.04824108435737852,0.9844513702015484,-0.022608153059024052,,0.62038232009812,-0.6887705224240813,down-regulated,0.842797517711022,-0.2467420298912231,
NP_055976.1,0.0,815.2,659.9,0.0,742.6,578.5,0.0,350.5,264.6,0.0,784.1,584.0,0.0,628.9,461.1,0.0,637.0,517.7,0.0,535.8,423.4,0.0,571.2,465.2,0.0,324.0,268.7,0.0,641.4148148148147,605.2037037037036,0.0,614.9666666666667,553.4740740740742,0.0,426.9259259259261,356.67037037037045,0.0,626.474074074074,553.4740740740742,0.0,535.7296296296295,430.4296296296296,0.0,493.1814814814814,483.0259259259259,0.0,565.662962962963,464.6925925925926,0.0,543.8555555555556,514.9740740740741,0.0,418.3962962962962,359.94444444444457,389.4802469135803,0.9316801644671099,0.03073315057115217,261.1987654320988,0.5708487028276755,0.2434789814806453,393.3160493827161,0.9420156883004334,0.025941864419889365,0.9372881305576274,-0.09343548176539486,,0.6285774554572818,-0.6698375654857289,down-regulated,0.946519027769938,-0.07929658632404277,
NP_002507.1,722.7,1253.3,2460.0,649.5,1077.4,2109.4,305.9,609.6,1125.6,662.5,1161.1,2178.4,411.7,869.5,1534.4,475.9,1077.3,2031.9,311.9,683.0,1277.1,357.3,860.1,1530.0,218.5,568.6,1058.0,654.4296296296296,1000.651851851852,2072.459259259259,623.9999999999999,906.4185185185185,1788.722222222222,431.2851851851852,776.4592592592593,1373.1185185185184,606.2407407407408,933.0925925925928,1848.1148148148147,394.8851851851852,749.122222222222,1286.2703703703703,455.11851851851856,851.3925925925927,1743.340740740741,352.32222222222214,712.9,1292.7074074074071,406.3185185185185,848.125925925926,1567.233333333333,328.4703703703704,737.5777777777777,1248.7740740740742,1106.38024691358,0.8179303982037213,0.08728365105010749,860.2876543209877,0.5001331836715741,0.3009143292008931,1129.1493827160493,0.8511926796355951,0.06997212002028792,0.8904371465249652,-0.16741431578621507,,0.6923768625128672,-0.5303705806040733,down-regulated,0.9087622064393563,-0.13802525753187705,
XP_011518282.1,0.0,1113.3,1608.5,0.0,1581.7,2312.3,0.0,947.2,1597.1,0.0,1540.9,2398.1,0.0,1536.2,2677.2,0.0,974.5,1492.9,0.0,1304.0,2297.9,0.0,1347.2,2218.8,0.0,1053.0,1940.3,0.0,911.2185185185184,1324.9111111111113,0.0,1380.814814814815,1991.259259259259,0.0,1292.7074074074071,1974.1074074074077,0.0,1296.9333333333338,2039.585185185185,0.0,1399.877777777778,2276.7259259259254,0.0,756.6814814814816,1296.9333333333338,0.0,1438.5555555555557,2322.4629629629635,0.0,1370.1444444444442,2247.022222222222,0.0,1429.2703703703703,2228.333333333333,1124.0246913580247,0.6247151069659176,0.2043179917446976,1088.9382716049383,0.6520797512093803,0.18569928556859835,1112.172839506173,0.6380716740599303,0.195130534601116,1.5079957929955032,0.5926324037836391,up-regulated,1.4609237190582274,0.5468808509617749,up-regulated,1.492095303558563,0.5773396867863118,up-regulated
NP_067041.1,0.0,591.8,514.6,0.0,547.8,339.5,0.0,301.1,203.3,0.0,519.2,278.9,0.0,432.0,209.3,0.0,512.7,244.6,0.0,274.8,124.4,0.0,287.5,145.4,0.0,164.1,103.5,0.0,456.2814814814814,483.88148148148144,0.0,444.8185185185185,340.30000000000007,0.0,359.3666666666668,269.237037037037,0.0,394.8851851851852,277.6925925925926,0.0,349.4666666666667,206.9851851851852,0.0,378.70740740740735,255.29999999999995,0.0,261.8407407407408,157.92222222222222,0.0,253.81111111111116,187.01111111111112,0.0,186.4,159.11111111111111,261.7061728395062,0.8149985145428069,0.08884318282621968,209.5345679012346,0.6179921480836685,0.20901704281668293,224.1925925925926,0.6741140655057658,0.17126661113770972,0.8350876916531416,-0.2600003935037602,,0.668611430642442,-0.5807600752742549,down-regulated,0.7153842517451664,-0.48320973526155425,
NP_036588.1,265.3,0.0,285.3,199.6,0.0,283.9,96.1,0.0,126.1,248.7,0.0,257.1,157.7,0.0,175.0,175.4,0.0,225.1,188.2,0.0,183.9,186.2,0.0,188.8,81.1,0.0,137.9,251.24074074074068,0.0,273.77777777777777,199.90740740740745,0.0,284.08148148148143,133.23333333333335,0.0,178.98148148148144,240.00000000000003,0.0,261.2037037037037,159.55185185185186,0.0,173.52222222222224,178.98148148148144,0.0,236.65925925925927,226.0037037037037,0.0,215.6296296296296,218.34814814814817,0.0,234.6148148148148,127.72962962962964,0.0,190.58888888888887,161.32962962962964,0.915904158464419,0.03814996915718566,104.07160493827159,0.5356674572876837,0.2711047369567692,167.0679012345679,0.9509690776372355,0.021833604650234494,0.9218510810906142,-0.11739438319640068,,0.5946739092095517,-0.7498293147503677,down-regulated,0.9546400479700894,-0.06697123493142616,
XP_016862457.1,1241.7,920.4,0.0,1148.0,885.0,0.0,487.4,442.2,0.0,913.1,767.2,0.0,816.9,646.2,0.0,212.2,286.7,0.0,198.4,263.6,0.0,156.0,230.1,0.0,94.8,155.2,0.0,1173.0814814814814,735.0000000000002,0.0,1105.8814814814816,730.6592592592592,0.0,696.874074074074,556.1592592592592,0.0,843.7925925925927,608.374074074074,0.0,782.8407407407409,553.4740740740742,0.0,215.6296296296296,198.97407407407405,0.0,240.6407407407407,244.3888888888889,0.0,185.79259259259257,198.1888888888889,0.0,146.45555555555555,177.237037037037,0.0,612.1802469135803,0.9621142339445462,0.016773360159251512,417.67777777777775,0.6219626997888543,0.20623565994200188,484.0555555555555,0.740046603551773,0.13074093023108552,0.962506454029838,-0.055131880254151194,,0.6566980212817993,-0.6066979866722233,down-regulated,0.7610611395584471,-0.3939157381431781,
NP_115810.2,2712.2,1658.9,2818.0,2257.6,1367.7,2127.2,810.5,432.6,779.2,2427.1,1475.2,2405.3,1483.0,851.8,1588.9,1480.5,725.3,1531.3,850.8,421.6,889.9,911.2,423.2,1051.0,400.2,183.6,471.5,2655.0444444444447,1399.877777777778,2364.3888888888887,2259.040740740741,1173.0814814814814,1799.0074074074078,1200.4037037037035,542.2333333333333,965.9592592592592,2326.692592592592,1240.1703703703704,2043.7,1523.225925925926,733.0666666666666,1333.0888888888892,1452.4925925925925,566.6296296296296,1327.1740740740745,1006.1444444444444,435.0407407407407,933.0925925925928,1058.9925925925927,402.4777777777778,1112.7518518518516,589.7074074074075,214.4,601.9444444444446,1743.70987654321,0.4681289657925103,0.32963448577993887,902.8654320987653,0.06297111669549306,1.2008586050877983,1870.1876543209873,0.6188746546126347,0.20839730303552512,0.8149051415462834,-0.2952959616608543,,0.4219450108295916,-1.2448731001555193,down-regulated,0.8740132493737067,-0.19427294484014096,
XP_011543064.1,238.0,73.6,0.0,420.1,128.9,0.0,496.7,149.4,0.0,531.7,148.6,0.0,848.1,269.4,0.0,548.7,172.3,0.0,774.6,246.4,0.0,863.4,267.5,0.0,523.7,168.8,0.0,224.13333333333333,34.262962962962966,0.0,404.77407407407406,85.30740740740741,0.0,718.6481481481482,151.5,0.0,487.6703703703704,96.7222222222222,0.0,811.3555555555556,199.4333333333334,0.0,518.3296296296296,107.24814814814816,0.0,899.6555555555556,230.51111111111103,0.0,981.3703703703702,230.51111111111103,0.0,770.9148148148147,195.40370370370368,0.0,163.3604938271605,0.6214916189981947,0.20656472357483652,290.04938271604937,0.45424712625522196,0.3427078115277923,194.7975308641975,0.5587416565877531,0.2527889489158512,1.8966273453065206,0.9234362418005058,up-regulated,3.3674946607995184,1.7516756582802544,up-regulated,2.2616136568864937,1.1773525001065095,up-regulated
NP_665813.1,1421.5,381.7,0.0,1667.2,398.2,0.0,1486.4,349.6,0.0,1823.4,423.1,0.0,2203.1,487.2,0.0,1470.4,393.5,0.0,2040.1,517.7,0.0,1753.7,375.5,0.0,1770.7,390.9,0.0,1323.4074074074076,287.65185185185175,0.0,1616.7888888888886,316.2814814814815,0.0,2283.8222222222225,424.66296296296287,0.0,1721.192592592593,314.60740740740744,0.0,2288.2925925925924,408.1518518518518,0.0,1442.003703703704,282.62592592592586,0.0,2565.7407407407413,538.1777777777777,0.0,2066.9814814814813,345.3703703703703,0.0,2808.4555555555544,500.6481481481482,0.0,644.3567901234567,0.87476150704938,0.058110335881147245,902.8283950617284,0.6799100220053179,0.1675485571939892,678.6000000000001,0.8423956999065225,0.07448385871672394,1.1998753982886803,0.26288459616342763,,1.6811828426662008,0.7494766382342796,up-regulated,1.2636406688950912,0.337586274509149,
XP_005252324.1,2324.2,1265.9,0.0,1815.6,959.1,0.0,916.5,492.2,0.0,1852.2,1058.5,0.0,1402.2,735.2,0.0,826.5,533.6,0.0,709.3,408.8,0.0,546.8,318.7,0.0,360.4,194.8,0.0,2228.333333333333,1014.511111111111,0.0,1779.4,809.8629629629629,0.0,1365.3666666666668,626.474074074074,0.0,1746.6074074074074,854.2814814814815,0.0,1424.737037037037,644.0333333333335,0.0,756.6814814814816,397.8888888888889,0.0,823.6074074074075,417.7074074074074,0.0,601.9444444444446,291.31481481481484,0.0,532.162962962963,226.86666666666665,0.0,863.0876543209876,0.8052135559469713,0.09408892227890028,663.9469135802469,0.6159707419616307,0.21043991593035746,866.9629629629629,0.8072603971672522,0.0929863527483523,0.798454260548581,-0.324718329667589,,0.6142264221625278,-0.7031575208624841,down-regulated,0.8020393618770901,-0.318255052981012,
NP_060590.1,0.0,1761.8,175.7,0.0,1555.7,164.6,0.0,651.2,60.2,0.0,1713.3,164.7,0.0,1257.8,121.5,0.0,1474.4,150.9,0.0,952.1,95.6,0.0,1044.3,88.8,0.0,665.6,71.3,0.0,1478.155555555555,184.5074074074074,0.0,1353.8037037037036,179.61481481481482,0.0,835.4407407407408,93.3,0.0,1438.5555555555557,177.237037037037,0.0,1141.8111111111111,132.24074074074076,0.0,1193.0333333333333,163.85185185185188,0.0,1033.0814814814814,126.65185185185186,0.0,1057.014814814815,125.07037037037038,0.0,896.625925925926,111.17407407407408,511.13950617283945,0.948759856039121,0.022843699474676273,309.58024691358025,0.6769456118278995,0.16944622264701914,538.5975308641976,0.981951287290608,0.007910056190264789,0.9222666004334861,-0.11674424279429337,,0.558586292850158,-0.8401479231308171,down-regulated,0.9718100592757273,-0.04125372891487971,
