Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
NP_002496.1,865.4,34.2,0.0,878.3,32.5,0.0,400.0,31.1,0.0,904.4,31.5,0.0,604.2,29.8,0.0,654.5,21.0,0.0,506.7,28.4,0.0,531.2,17.0,0.0,367.5,22.8,0.0,811.3555555555556,9.914814814814816,0.0,858.5851851851852,10.10740740740741,0.0,556.1592592592592,12.637037037037036,0.0,836.5888888888888,9.607407407407406,0.0,574.4333333333333,8.3,0.0,609.3074074074074,6.362962962962963,0.0,590.911111111111,10.10740740740741,0.0,589.7074074074075,6.207407407407407,0.0,542.2333333333333,9.403703703703703,0.0,289.5641975308642,0.9697282684615036,0.013349944125949363,189.59876543209876,0.8102731847098124,0.09136853345529532,282.0654320987654,0.9838667232511502,0.0070637280694535575,1.0577425217481498,0.08098848585971133,,0.6925810510365602,-0.5299451788358452,down-regulated,1.0303504507470358,0.04313512144915718,
NP_115544.1,680.3,1285.2,0.0,633.4,1089.5,0.0,247.4,421.3,0.0,693.7,1225.1,0.0,563.8,1205.1,0.0,586.3,1046.1,0.0,380.2,700.5,0.0,403.3,698.5,0.0,190.9,349.6,0.0,618.7518518518519,1038.5851851851849,0.0,602.9037037037036,917.3,0.0,347.5037037037037,531.1148148148148,0.0,630.6740740740742,994.251851851852,0.0,540.1074074074072,1083.0407407407408,0.0,549.7629629629631,819.9074074074072,0.0,444.8185185185185,741.0555555555557,0.0,455.67777777777775,691.5666666666666,0.0,282.62592592592586,453.02962962962965,0.0,506.73456790123447,0.9154850241608722,0.038348755652280984,292.87283950617285,0.5002067832544944,0.3008504231412591,541.641975308642,0.9806542011460209,0.00848410679848257,0.917256822077362,-0.12460236536112863,,0.5301387097999694,-0.9155582073657247,down-regulated,0.9804438624209747,-0.028493066943615683,
NP_001070984.1,1713.0,3029.8,0.0,1469.2,2740.1,0.0,684.5,1375.7,0.0,1580.7,2774.0,0.0,1132.5,2283.8,0.0,1439.6,2767.0,0.0,1231.5,2083.3,0.0,1458.0,2410.3,0.0,901.6,1663.1,0.0,1586.6111111111106,2417.529629629629,0.0,1426.5666666666668,2322.4629629629635,0.0,970.9407407407406,1848.1148148148147,0.0,1471.5222222222224,2259.040740740741,0.0,1136.3148148148146,2035.5592592592595,0.0,1407.6111111111113,2235.433333333334,0.0,1492.748148148148,2242.955555555556,0.0,1731.103703703704,2433.325925925926,0.0,1347.6666666666663,2283.8222222222225,0.0,1249.6765432098766,0.935025030430743,0.029176762996521288,939.6851851851851,0.6809573288051429,0.1668801016629661,1243.520987654321,0.9296500836627963,0.031680487285423976,0.9362881757587982,-0.0949754563706444,,0.704035082201943,-0.5062807744655284,down-regulated,0.9316762832549272,-0.10209932634758292,
NP_004779.2,1416.5,0.0,17.0,1213.6,0.0,20.9,581.8,0.0,18.6,1403.2,0.0,11.3,1112.3,0.0,27.5,1195.8,0.0,34.9,970.3,0.0,26.6,1179.4,0.0,29.6,571.4,0.0,34.6,1316.448148148148,0.0,33.348148148148155,1188.6111111111113,0.0,41.04074074074074,827.7037037037037,0.0,42.92592592592592,1316.448148148148,0.0,29.718518518518515,1118.1185185185186,0.0,42.56666666666666,1154.3777777777775,0.0,55.17777777777778,1144.1074074074074,0.0,47.97037037037036,1373.1185185185184,0.0,54.81481481481482,836.5888888888888,0.0,64.35185185185186,409.88395061728403,0.9485403711258648,0.022944180237550443,290.2098765432099,0.7727217698114673,0.1119768522485514,448.7222222222222,0.9985204109911803,0.0006430531866289488,0.9109906844654203,-0.13449179337842848,,0.6450081630973125,-0.6326106757693188,down-regulated,0.9973109797088724,-0.0038846615496550725,
NP_004995.1,2427.4,4790.5,0.0,2059.6,3974.2,0.0,971.5,1429.2,0.0,2263.3,5027.6,0.0,1602.9,2866.1,0.0,1355.6,2613.4,0.0,1098.1,1963.7,0.0,955.7,1689.3,0.0,535.1,643.9,0.0,2331.948148148148,3685.792592592592,0.0,2061.385185185185,3238.8444444444435,0.0,1478.155555555555,1913.2370370370372,0.0,2170.5333333333333,3919.722222222223,0.0,1631.7666666666669,2525.725925925926,0.0,1307.522222222222,2123.9,0.0,1310.085185185185,2107.7666666666664,0.0,1102.2814814814817,1721.192592592593,0.0,780.2555555555556,863.9037037037039,0.0,1766.7432098765428,0.8757021902268307,0.057643564073027606,1130.464197530864,0.5245033035574744,0.2802517720800257,2030.0851851851855,0.9884061300330553,0.0050645697943670805,0.8807673607050756,-0.18316708808931942,,0.56356575311271,-0.8273441505848115,down-regulated,1.012050172637695,0.01728081376872343,
NP_004619.3,933.4,70.5,268.4,959.4,63.0,286.3,826.9,68.6,278.5,888.9,77.2,235.1,1056.0,84.5,378.8,1401.1,77.1,255.3,694.8,62.5,254.9,775.7,67.5,223.0,661.7,58.0,209.4,867.7888888888889,31.88148148148148,256.7814814814815,924.1333333333334,28.35185185185185,286.2037037037037,1223.4814814814815,44.948148148148135,373.7296296296296,819.9074074074072,37.72222222222223,247.07407407407405,1021.1666666666666,38.22222222222223,355.7703703703704,1370.1444444444442,36.459259259259255,266.4037037037037,806.7666666666667,35.61111111111112,291.31481481481484,862.1814814814815,38.22222222222223,271.2703703703704,963.0703703703704,45.37777777777777,285.7111111111111,412.89629629629627,0.9437588175164907,0.025138977740644657,547.3864197530864,0.7281166887231967,0.13779901463260522,368.23456790123447,0.9622121104801327,0.01672918133327138,1.0711115096623773,0.09910868182728713,,1.4199979503077742,0.5058888472771801,up-regulated,0.9552526565932832,-0.06604573011025407,
NP_001137462.1,633.3,62.7,0.0,600.8,62.7,0.0,250.2,47.1,0.0,607.2,69.2,0.0,436.4,64.0,0.0,668.0,63.3,0.0,359.0,58.5,0.0,422.1,55.3,0.0,212.9,49.8,0.0,573.2518518518517,22.50740740740741,0.0,571.0851851851853,27.65925925925926,0.0,352.32222222222214,23.066666666666663,0.0,558.1296296296296,32.65555555555556,0.0,420.2407407407407,21.31851851851852,0.0,623.9999999999999,26.74074074074074,0.0,421.1814814814815,31.88148148148148,0.0,473.6703703703704,26.74074074074074,0.0,319.97407407407405,34.262962962962966,0.0,199.58148148148152,0.9971732871936658,0.0012293641231133263,125.1296296296296,0.757825548036247,0.12043075775179067,196.92839506172837,0.9952261590854732,0.002078217262214318,1.005010723943925,0.007210895730746756,,0.6301016443380685,-0.6663435203158726,down-regulated,0.9916508656864879,-0.012095820042450705,
NP_001238965.1,0.0,252.8,369.5,0.0,231.5,312.8,0.0,115.5,154.3,0.0,248.9,304.9,0.0,167.1,240.9,0.0,242.5,350.1,0.0,157.2,244.5,0.0,203.3,293.7,0.0,141.5,251.1,0.0,171.40740740740742,351.3888888888888,0.0,166.64814814814818,314.60740740740744,0.0,109.21851851851854,212.87037037037044,0.0,168.41851851851854,305.0037037037037,0.0,110.1148148148148,230.11111111111111,0.0,163.85185185185188,349.4666666666667,0.0,130.8925925925926,281.2296296296297,0.0,169.00000000000003,345.3703703703703,0.0,157.30740740740742,335.9814814814814,160.41851851851854,0.9239680256759756,0.03434305747334994,107.36296296296298,0.6088677630613546,0.21547701936835342,157.8074074074074,0.9085741550493538,0.04163962111933522,0.9205412489816163,-0.11944572543830771,,0.616088696822642,-0.6987900276449448,down-regulated,0.9055577202366195,-0.1431214934190719,
NP_065747.1,178.2,44.6,0.0,163.0,37.6,0.0,69.7,26.7,0.0,186.0,36.5,0.0,110.9,32.0,0.0,154.0,36.7,0.0,96.3,18.9,0.0,118.4,23.5,0.0,41.0,21.6,0.0,171.40740740740742,12.911111111111111,0.0,166.64814814814818,11.43703703703704,0.0,103.97037037037036,10.396296296296295,0.0,184.5074074074074,11.43703703703704,0.0,114.55925925925924,9.607407407407406,0.0,154.69629629629628,11.17777777777778,0.0,118.18518518518522,6.551851851851851,0.0,140.94074074074075,8.462962962962964,0.0,67.81851851851853,8.892592592592592,0.0,59.36172839506174,0.9797599807886013,0.008880303681106275,38.12222222222222,0.7389081428372364,0.13140954744882258,65.31481481481482,0.9642537344792845,0.015808670470107835,0.9661817304987341,-0.049633521736570485,,0.6204838644857934,-0.6885344009362471,down-regulated,1.063075191898083,0.08824364309855641,
XP_016879247.1,0.0,115.0,81.7,0.0,110.5,57.6,0.0,71.8,29.2,0.0,112.2,74.8,0.0,87.8,49.1,0.0,104.2,43.0,0.0,76.7,53.7,0.0,82.0,49.3,0.0,60.1,37.0,0.0,65.18888888888891,93.0185185185185,0.0,66.57407407407406,74.99259259259259,0.0,50.6074074074074,56.88518518518518,0.0,65.18888888888891,94.12962962962963,0.0,39.466666666666654,62.24074074074075,0.0,56.88518518518518,63.63703703703705,0.0,48.32962962962962,77.9851851851852,0.0,53.25185185185186,77.04074074074073,0.0,47.54814814814813,69.47037037037038,47.18888888888889,0.8863062653557945,0.05241618062929909,35.830864197530865,0.6387968069818091,0.19463726334389697,53.10617283950618,0.9929094602083086,0.0030903514287234785,0.8948169304241971,-0.16033554165533223,,0.679440958891282,-0.5575799037409089,down-regulated,1.0070231295065084,0.010096819830421636,
