_GENE_SYMBOL_,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Accession,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
NOC3L,2385.0,2400.0,519.6,1646.7,1589.9,432.9,2746.0,2599.8,585.0,2711.5,540.5,2141.3,2475.65,2123.425,434.975,2637.65,2042.675,563.9833333333333,2779.15,2290.883333333333,479.5916666666666,2734.7416666666663,424.1916666666666,1869.3666666666663,NP_071896.8,2465.3,608.5,2238.2,2400.1,667.4,2782.3,1957.1,514.4,2072.7,2040.2,550.1,2260.6,1651.4,469.6,1851.9,bla1600,1678.016666666667,0.9984420277792816,0.0006771463631034064,1748.1027777777779,0.9409814071545795,0.026418957709770895,1849.8749999999998,0.8667225554979581,0.06211990125448934,1.0011435276335943,0.0016488190905807826,,1.042958521435343,0.06068178287258006,,1.1036781814927512,0.14231956192782638,
ZRANB2,2341.3,2517.3,1043.1,1404.0,1510.7,870.7,2301.9,2454.3,1079.9,2246.1,1092.1,2567.7,2443.458333333333,2234.2000000000003,902.1833333333332,2234.2000000000003,1947.05,1212.825,2283.1416666666664,2165.0000000000005,898.7916666666666,2225.6,925.7416666666668,2246.516666666667,NP_976225.1,1891.8,1129.5,2155.6,1898.1,955.2,2373.5,1737.1,1064.8,1865.4,1800.1,911.9,1800.1,1615.8,1047.9,1535.5,bla1601,1859.947222222222,0.9302808039981011,0.03138594045729824,1798.0249999999999,0.9982358756100241,0.0007668260752964017,1782.3111111111111,0.979541448458322,0.008977182481003612,1.033713988418246,0.04783707098266001,,0.9992991047375269,-0.001011532649998076,,0.9905657027555681,-0.013675424774162406,
U2SURP,1845.8,2993.3,3571.2,1149.0,2226.6,2584.1,1966.4,2918.9,3678.7,1947.0,3575.9,2771.7,1901.3166666666664,2667.2833333333333,3072.808333333333,1879.8166666666668,2860.3250000000003,3648.4666666666662,1944.6,2601.383333333333,3031.458333333333,1916.3,2930.1583333333333,2422.8833333333337,NP_001073884.1,1965.0,3779.8,3119.2,2009.6,4314.0,3451.7,1358.3,2897.1,2603.2,1268.9,2726.0,2256.4,881.7,2551.1,2367.1,bla1602,2547.136111111111,0.7973786692703129,0.09833538635873285,2796.202777777778,0.5692926290222056,0.24466443922675568,2525.813888888889,0.8233263354347734,0.08442799274944425,1.0511829934164143,0.07201384029316844,,1.1539708433019495,0.2066067727224877,,1.042383480393112,0.059886125488578155,
SCP2,772.2,5775.8,791.6,553.5,2276.4,626.3,779.3,6899.6,724.2,831.6,717.7,6584.6,767.6,5113.275000000001,676.5583333333334,824.5333333333333,2900.558333333333,827.1833333333333,733.1666666666666,5866.474999999999,591.1999999999999,799.6583333333333,584.4,5657.474999999999,NP_002970.2,737.9,884.5,4113.0,586.9,815.3,4111.7,781.7,883.2,4276.0,804.3,946.3,4983.7,702.7,1046.7,2549.5,bla1603,2185.8111111111116,0.9453624019822728,0.02440167401991239,1517.425,0.6788237819604299,0.16824295098421016,2396.947222222222,0.9844430096816108,0.006809420508292184,0.9312507692453351,-0.10275838270872095,,0.6464891642918683,-0.629301905444862,down-regulated,1.0212039517908031,0.030271025718972992,
KRR1,0.0,2974.7,1248.3,0.0,2014.7,753.9,0.0,2936.4,1273.7,0.0,1277.0,3104.2,0.0,2635.225,1105.1583333333335,0.0,2630.058333333334,1029.6333333333332,0.0,2613.9083333333333,1078.3749999999998,0.0,1068.5916666666667,2722.591666666667,NP_008974.5,,1027.6,2825.1,,1429.0,2789.9,,841.2,2254.1,,929.4,2186.4,,604.5,1784.3,bla1604,1246.7944444444445,0.9884605229123882,0.005040670835557848,1219.8972222222224,0.9701609658427152,0.013156203076421836,1230.761111111111,0.9774587097145802,0.00990157922299877,0.986600489732757,-0.0194620914239569,,0.9653164579221087,-0.05092611889902746,,0.9739131581608202,-0.038134959003072504,
TIMP3,1039.2,2031.1,1369.6,733.5,1448.6,1006.0,1095.6,2143.0,1451.4,1046.0,1385.0,2112.7,1034.325,1812.3083333333332,1223.9833333333331,1110.55,1865.6083333333336,1456.8833333333332,1057.9833333333331,1910.7833333333333,1257.7083333333333,1004.475,1178.3333333333337,1849.2,NP_000353.1,1081.7,1344.2,2248.5,2345.1,2603.2,3037.6,1531.0,1617.4,2513.3,2551.7,2349.2,3051.3,832.2,1076.1,1532.5,bla1605,1356.872222222222,0.9722955868862555,0.012201685445594232,1477.6805555555557,0.7128228550965611,0.1470183840508772,1408.8249999999998,0.8673838285678688,0.06178867906206471,1.0095754597068043,0.013748747495712641,,1.099462426706294,0.1367983020275994,,1.048230720422618,0.0679562956682356,
XP_005246794.1,2278.9,1680.3,1271.0,1497.6,1141.4,1023.3,2313.9,1549.0,1201.8,2333.0,1326.2,1607.5,2367.8416666666667,1459.1,1130.8833333333332,2395.358333333333,1464.7666666666669,1489.7750000000003,2316.433333333333,1380.6083333333331,1018.9500000000002,2330.5333333333333,1118.55,1380.6083333333331,XP_005246794.1,2144.9,1390.6,1634.2,2760.6,1610.8,1896.8,1763.6,1136.5,1179.2,1940.1,1176.8,1234.0,1607.0,1161.7,1155.7,bla1606,1652.6083333333333,0.9387116819819361,0.02746777743751719,1783.3000000000002,0.7361374661578328,0.13304107802773035,1571.997222222222,0.946818447728859,0.023733288904344254,1.0265303340620435,0.037776259842303095,,1.1077104646086797,0.14758083638752284,,0.976458124483447,-0.034369919587859746,
TRMT61A,61.7,20.1,80.4,55.2,26.6,67.6,53.8,20.9,67.6,63.0,76.9,22.8,72.69166666666668,42.46666666666666,41.38333333333333,84.28333333333332,56.05833333333334,44.958333333333336,66.00833333333334,42.84166666666666,30.691666666666663,72.69166666666668,36.05,42.46666666666666,NP_689520.2,66.9,118.9,32.4,63.3,188.3,24.0,45.9,66.8,32.2,46.6,76.3,18.8,36.0,53.4,18.0,bla1608,52.18055555555555,0.9129277287081847,0.03956360172700291,61.76666666666666,0.5233646848520033,0.28119558565361813,46.513888888888886,0.8123117509994213,0.09027726416403999,1.0352714246348855,0.050009059162436635,,1.2254615596583078,0.29332523038172514,,0.9228437586111876,-0.11584168077261857,
NP_001350687.1,519.5,2243.4,208.7,223.9,1658.0,155.0,733.1,2199.0,214.8,819.9,209.2,2296.7,507.75000000000006,1982.7,151.73333333333332,327.43333333333334,2151.4666666666667,166.49166666666665,690.5749999999999,1947.05,147.69166666666666,786.85,145.15,1982.7,NP_001350687.1,450.6,220.0,2413.5,327.7,208.4,1882.1,386.6,187.1,1919.7,448.5,226.0,2045.1,244.3,133.0,1957.5,bla1609,880.7277777777778,0.9125989454241259,0.039720037422603514,881.7972222222223,0.919574676681691,0.03641299687299834,928.4388888888889,0.9573305000016611,0.018938104492851892,0.9065026703720224,-0.14161682502625822,,0.907603412586773,-0.13986606133683194,,0.9556100685033337,-0.06550604048270987,
ERLIN2,0.0,953.9,598.0,0.0,737.8,432.1,0.0,965.1,657.9,0.0,602.3,989.0,0.0,911.0166666666664,515.8333333333334,0.0,952.3916666666668,561.2083333333334,0.0,904.1333333333332,535.9416666666667,0.0,488.70833333333326,904.1333333333332,NP_001349807.1,,606.7,983.3,,786.8,913.2,,512.2,920.8,,562.6,981.2,,450.3,907.3,bla1611,475.6166666666666,0.977104249166576,0.010059098080131224,504.53333333333336,0.9208254013108615,0.035822709038361475,480.0249999999999,0.9681294786771804,0.014066555796358182,1.0244165106108016,0.03480241027797981,,1.0866992539233344,0.11995272701925658,,1.0339114879054212,0.048112683306898676,
