Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample
NP_003923.2,2558.6,4160.2,3099.4,2515.0,3012.6,2979.2,1524.2,1462.2,2024.4,2470.7,3514.3,2794.9,2024.5,2120.7,2697.8,1990.8,2646.8,1937.2,1974.5,1929.3,3024.3,1923.6,2120.0,2169.5,1514.0,1234.0,2383.3,2477.0629629629625,3238.8444444444435,2623.814814814815,2549.281481481481,2521.0592592592593,2549.281481481481,2354.0111111111105,1962.8,2545.1185185185186,2387.759259259259,2797.729629629629,2367.855555555556,2085.859259259259,1913.2370370370375,2295.2518518518514,1916.9370370370366,2143.3370370370376,1654.9555555555557,2468.662962962963,2085.859259259259,2972.096296296297,2283.8222222222225,2143.3370370370376,2208.374074074074,2311.9518518518516,1701.362962962963,2789.637037037037
NP_004484.1,2374.4,1805.5,1520.9,2432.0,1727.4,1441.8,1773.5,1193.0,1130.6,2717.3,1765.7,1426.4,2975.9,1816.8,1594.2,2365.4,1892.8,1363.4,2530.0,1445.6,1339.7,2836.6,1660.9,1381.4,2328.0,1428.8,1275.4,2279.9703703703703,1501.0777777777778,1269.9481481481484,2438.914814814815,1508.3777777777777,1238.0481481481477,2797.729629629629,1629.9740740740735,1380.814814814815,2640.844444444444,1475.8444444444447,1214.1148148148147,3168.859259259259,1654.9555555555557,1336.8592592592595,2331.948148148148,1541.914814814815,1188.6111111111113,3238.8444444444435,1578.025925925926,1341.3703703703702,3596.922222222222,1704.1148148148147,1419.0222222222221,3735.4555555555553,1974.1074074074074,1503.4407407407411
NP_002096.1,1979.6,2500.9,5561.1,1719.9,2354.5,5329.6,735.2,1236.6,2482.7,1799.9,2433.9,4985.0,1410.5,1813.5,3480.4,1401.9,2569.4,5287.3,1028.2,1498.8,3091.3,1030.4,1642.6,3115.5,637.3,1056.7,2338.5,1878.1777777777784,2026.622222222222,4522.774074074074,1680.3555555555552,1991.2592592592587,4422.592592592592,1067.5444444444445,1671.5592592592598,3071.6888888888884,1683.5407407407404,1945.3222222222216,4187.696296296297,1431.4407407407407,1643.1407407407405,2942.640740740741,1373.1185185185184,2092.940740740741,4362.166666666665,1225.4444444444443,1645.9222222222224,3047.1925925925925,1190.737037037037,1687.4037037037033,3161.9629629629635,939.1296296296294,1433.9666666666667,2702.3
NP_001017417.1,2711.8,6610.1,2477.9,2553.5,5303.9,2195.2,1867.5,2804.3,1423.0,2654.6,6238.7,2389.7,2388.2,4427.7,2045.7,2647.4,5227.3,2549.6,2374.3,3721.1,1702.0,2359.2,4031.5,1686.9,2067.8,2693.4,1400.7,2650.7666666666664,4895.937037037038,2085.859259259259,2583.2851851851856,4323.522222222223,1870.5999999999997,2927.933333333334,3789.5592592592593,1754.3370370370374,2577.6185185185186,4738.007407407407,2035.5592592592593,2499.103703703703,3927.4703703703703,1746.6074074074074,2557.4333333333334,4070.1555555555556,2166.0111111111114,2972.096296296297,4001.4666666666662,1704.1148148148147,2819.888888888888,4114.914814814815,1736.3925925925926,3287.274074074075,3760.459259259259,1648.0555555555557
NP_001013.1,15937.8,13601.2,18607.9,15557.2,13334.6,17771.8,8023.8,6415.4,8554.3,15367.1,12753.8,17123.3,11231.1,9131.2,11958.5,14984.6,11323.8,16498.3,10145.9,8283.7,10954.6,11185.0,9053.3,11886.3,7941.6,6210.7,8498.5,15930.070370370373,10141.485185185184,15532.4,16906.51111111111,10465.08148148148,15532.4,13286.466666666667,8705.296296296296,10531.31851851852,15748.6,9667.033333333333,14658.714814814814,12782.418518518518,8122.807407407409,10191.1,15047.896296296296,8915.562962962962,13742.78888888889,13286.466666666667,8506.751851851852,10792.688888888888,14405.851851851852,9138.94074074074,12597.355555555558,13211.859259259258,8546.207407407408,9526.155555555553
NP_001036015.1,4884.3,2869.4,1611.5,4764.5,2817.3,1582.5,2862.3,2028.1,959.2,5207.1,2929.1,1567.9,4454.8,2793.9,1338.9,6392.7,3774.9,1613.1,3199.5,2056.5,1033.5,2937.5,1920.9,1000.3,2057.9,1372.1,702.0,4751.522222222222,2315.262962962963,1331.8259259259257,4885.837037037036,2379.174074074074,1339.1407407407405,4822.444444444444,2794.3370370370367,1187.3444444444442,5156.37037037037,2394.9666666666662,1335.362962962963,5022.511111111112,2445.977777777778,1144.1074074074074,7095.348148148149,3016.777777777778,1390.788888888889,4028.1259259259264,2224.1740740740743,1058.9925925925927,3735.4555555555553,1942.5962962962965,1073.874074074074,3258.2,1898.5296296296294,878.3333333333331
NP_054782.2,177.3,250.7,0.0,153.4,266.1,0.0,67.8,137.4,0.0,166.7,256.0,0.0,129.4,229.5,0.0,160.1,323.1,0.0,93.7,194.2,0.0,123.4,221.2,0.0,73.9,180.0,0.0,170.64444444444447,169.00000000000003,0.0,155.93333333333334,192.24814814814818,0.0,99.47777777777776,134.91481481481486,0.0,167.26296296296297,174.3296296296296,0.0,133.23333333333335,163.85185185185188,0.0,163.07777777777775,229.1740740740741,0.0,114.95555555555556,169.84074074074073,0.0,150.40740740740742,186.39999999999998,0.0,117.55555555555556,210.0851851851852,0.0
NP_000960.2,7236.1,6654.9,8772.0,6623.8,5964.3,8369.5,5129.1,4874.6,5476.1,6873.3,6245.1,8237.5,7116.5,6689.0,8069.2,6990.6,6071.5,8419.7,5858.9,5568.5,6757.9,5786.4,5143.2,6540.1,5408.5,5260.8,5505.0,7310.07037037037,4938.355555555556,6902.855555555556,7241.944444444444,4861.762962962962,6873.329629629629,8915.562962962962,6587.044444444444,6715.548148148147,7051.122222222221,4751.522222222222,6587.044444444444,8169.640740740741,5996.092592592594,6545.074074074074,7540.4740740740735,4692.474074074074,6668.092592592591,7889.837037037036,5975.988888888887,6461.914814814815,7763.337037037038,5184.0259259259265,6439.148148148148,8772.72222222222,7095.348148148149,6037.055555555555
NP_072045.1,7479.6,8782.4,14332.7,6772.6,8358.8,14150.8,3732.5,4855.2,8872.6,7142.4,9071.7,12853.6,5423.4,6683.9,12267.1,6838.7,8724.7,13919.3,4790.9,6044.8,11049.6,5154.4,6677.4,11071.4,3663.5,4544.7,9509.3,7727.314814814816,6715.548148148147,11891.129629629628,7399.859259259258,6873.329629629629,12084.977777777778,6545.074074074074,6568.314814814814,11063.4,7399.859259259258,7051.122222222221,10792.688888888888,6292.251851851852,5975.988888888887,10465.08148148148,7504.61111111111,6841.003703703702,10992.933333333329,6493.344444444444,6439.148148148148,10859.388888888889,6813.248148148146,6668.092592592591,11147.651851851853,6246.12962962963,6205.222222222223,10992.933333333329
NP_060979.2,13667.8,21931.9,5341.5,12120.2,19372.5,5030.1,6440.4,10115.2,2964.6,13057.9,21867.4,5260.9,10032.6,16373.5,4589.3,13007.1,22075.6,4335.8,10033.6,16099.2,4256.8,11133.2,18601.7,4139.5,7203.4,12715.7,3336.6,13286.466666666667,16715.466666666664,4375.625925925926,12274.696296296293,15748.6,4247.896296296297,10919.125925925924,13505.418518518518,3659.9444444444434,12914.618518518519,16715.466666666664,4407.933333333333,11354.237037037035,14238.985185185187,3884.5777777777776,13396.937037037038,16906.51111111111,3675.5962962962953,13106.362962962963,16501.866666666665,4221.799999999999,13979.385185185187,18178.16296296296,4126.451851851853,12005.422222222225,17305.181481481482,3856.266666666667
NP_003127.1,4165.5,446.2,4257.5,3955.2,444.3,4087.5,2180.5,307.1,2433.6,4053.8,429.2,3972.7,3507.1,452.6,3611.7,3402.3,395.7,3727.5,3379.1,414.7,3509.3,3664.2,451.6,3644.2,2428.6,365.8,2981.7,4070.1555555555556,333.77037037037036,3531.085185185185,4021.3333333333335,345.3703703703703,3515.8444444444435,3496.8629629629627,366.30370370370366,3003.477777777778,3973.159259259259,319.2444444444444,3377.8296296296294,3779.514814814814,368.2222222222223,3028.937037037037,3435.2148148148153,285.7111111111111,3116.003703703704,4323.522222222223,425.79629629629625,3391.4333333333334,4553.25925925926,425.79629629629625,3650.596296296296,3973.159259259259,474.3111111111112,3488.637037037037
NP_001014436.1,221.4,4362.3,2593.0,224.9,4423.3,2665.9,158.0,2596.7,1798.6,234.8,4609.1,2734.0,216.7,3958.2,2509.4,294.9,4632.6,2940.5,164.6,3532.5,2305.9,177.4,3994.6,2517.2,181.7,2806.3,2010.0,209.47037037037038,3369.1888888888884,2182.637037037037,220.86666666666665,3596.922222222222,2283.8222222222225,229.1740740740741,3521.2518518518523,2201.4999999999995,226.0037037037037,3628.9333333333325,2311.9518518518516,220.27037037037033,3508.322222222222,2139.022222222222,286.2037037037037,3596.922222222222,2453.0925925925926,193.4259259259259,3789.5592592592593,2326.692592592592,208.76296296296294,4070.1555555555556,2587.3888888888887,268.6296296296296,3902.0,2299.511111111111
NP_006746.1,6996.8,7432.3,9361.0,6573.2,7089.5,9160.5,3890.7,4202.7,6224.0,7177.2,7433.6,9332.4,5804.3,6369.9,8916.6,5767.0,6107.9,8538.8,5224.4,5739.5,8076.9,5342.4,5768.0,8037.8,3792.3,4193.2,6849.5,7028.177777777777,5671.3,7540.4740740740735,7068.866666666668,5748.277777777777,7590.218518518518,6813.248148148146,5623.707407407408,7473.544444444445,7473.544444444445,5706.622222222221,7590.218518518518,6668.092592592591,5725.418518518519,7211.133333333333,6205.222222222223,4727.055555555555,6791.14814814815,7154.296296296296,6140.907407407409,7504.61111111111,7127.629629629628,5837.811111111112,7889.837037037036,6545.074074074074,5725.418518518519,7619.992592592595
NP_003642.3,344.5,1339.3,0.0,351.0,1291.1,0.0,266.0,757.9,0.0,349.4,1383.4,0.0,345.2,1053.1,0.0,536.8,1236.5,0.0,356.4,885.9,0.0,359.4,1002.3,0.0,291.9,659.9,0.0,321.7851851851852,1087.6444444444444,0.0,344.79999999999995,1096.8222222222223,0.0,371.4555555555556,999.1222222222225,0.0,322.40740740740745,1144.1074074074074,0.0,328.4703703703704,936.4740740740742,0.0,509.6259259259259,992.9296296296297,0.0,415.8111111111111,956.3259259259257,0.0,408.92962962962946,1019.5925925925925,0.0,433.20000000000005,890.2481481481482,0.0
NP_005156.1,1407.2,768.9,0.0,1384.3,750.8,0.0,1134.1,572.7,0.0,1451.7,818.3,0.0,1574.8,820.3,0.0,1368.6,913.6,0.0,1495.5,719.5,0.0,1571.2,870.8,0.0,1599.0,806.1,0.0,1305.0888888888887,614.9666666666667,0.0,1331.8259259259257,620.9925925925926,0.0,1769.533333333334,726.7370370370371,0.0,1358.3703703703704,649.4703703703703,0.0,1600.5851851851855,704.474074074074,0.0,1336.8592592592595,704.474074074074,0.0,1837.8148148148148,760.2407407407408,0.0,1851.1333333333332,863.9037037037039,0.0,2460.3851851851855,1081.2444444444443,0.0
NP_001000.2,9951.8,8201.7,5937.1,9405.2,8079.9,5473.2,6628.0,5027.4,3552.0,10232.2,8289.5,5847.9,9569.9,7477.8,5354.1,11437.7,9790.1,6931.6,7965.9,6250.7,4321.5,8190.8,6606.9,4535.5,6615.8,4897.5,3400.1,9996.740740740743,6228.614814814816,4861.762962962962,10092.37037037037,6523.874074074073,4576.366666666667,11535.962962962965,6759.333333333335,4446.3703703703695,10531.31851851852,6439.148148148148,4895.937037037038,10729.766666666665,6759.333333333335,4553.25925925926,11612.370370370372,7889.837037037036,5561.192592592593,10531.31851851852,6587.044444444444,4323.522222222223,10465.08148148148,6643.322222222223,4602.651851851851,10792.688888888888,6643.322222222223,3939.2185185185185
NP_001350685.1,2425.8,3064.1,1242.4,2492.7,2886.5,1248.0,1731.4,1264.7,890.4,2477.9,2590.2,1418.1,2837.4,2124.5,1439.3,2035.3,1253.3,1085.7,1988.9,1114.9,1310.2,2050.7,1065.4,1452.5,1730.4,777.5,1084.7,2326.692592592592,2449.5074074074078,1075.348148148148,2511.540740740741,2421.114814814814,1108.7407407407406,2706.440740740741,1716.9185185185188,1107.1444444444444,2399.211111111111,2114.2925925925924,1209.448148148148,2961.5296296296297,1924.237037037037,1225.4444444444443,1984.1074074074074,1003.7222222222221,967.562962962963,2480.4518518518516,1182.9259259259259,1316.448148148148,2433.325925925926,1069.4555555555557,1490.2111111111112,2735.529629629629,1055.2814814814815,1286.2703703703703
NP_055554.1,4907.0,9585.0,5755.7,4745.1,9644.0,5787.0,2379.1,5028.0,3528.5,4586.8,9471.9,5934.0,3522.7,7351.2,4704.6,4068.6,8924.2,5473.3,2825.3,6010.5,3924.4,2931.2,6422.3,4098.7,2038.2,4365.0,3229.9,4781.0148148148155,7310.07037037037,4670.907407407407,4822.444444444444,7658.729629629629,4885.837037037036,3830.081481481481,6791.14814814815,4422.592592592592,4532.170370370371,7310.07037037037,4965.392592592591,3806.359259259259,6545.074074074074,3973.159259259259,4097.577777777777,7154.296296296296,4541.625925925925,3558.555555555555,6389.992592592594,3840.137037037038,3719.025925925925,6419.066666666667,4080.907407407407,3232.696296296297,5916.174074074074,3735.4555555555553
NP_006126.1,3516.5,5420.7,2263.1,3306.9,5123.7,1964.2,1883.7,3041.5,1415.2,3394.6,5352.4,1819.4,2865.2,4482.7,1834.9,3369.4,5580.6,1275.7,2305.3,3894.2,1478.1,2488.5,4394.9,1110.3,1878.7,3095.1,1304.3,3496.8629629629627,4238.966666666667,1875.1185185185186,3397.9999999999995,4215.400000000001,1687.4037037037033,2967.3999999999996,4126.451851851853,1750.666666666667,3332.9925925925927,4221.799999999999,1521.2037037037035,3016.777777777778,3955.974074074074,1523.225925925926,3397.9999999999995,4306.822222222222,1128.3185185185187,2881.977777777777,4187.696296296297,1503.4407407407411,3041.770370370371,4422.592592592592,1178.4962962962964,2942.640740740741,4306.822222222222,1539.5444444444443
NP_000916.2,2643.9,2491.5,1768.1,2569.7,2433.1,1647.0,2061.4,1884.1,1338.0,2668.9,2481.1,1590.9,2908.9,2636.9,1904.9,2913.8,2585.1,1486.0,2486.6,2145.5,1633.4,2697.9,2330.1,1444.5,2591.4,2216.0,1597.7,2569.2740740740737,2019.6592592592594,1449.774074074074,2602.892592592593,2047.8185185185187,1378.6481481481478,3332.9925925925927,2552.6111111111118,1638.007407407407,2592.8037037037034,1995.0592592592598,1345.7629629629632,3086.177777777778,2307.5888888888885,1614.0851851851853,2955.05925925926,2104.574074074074,1294.47037037037,3168.859259259259,2303.4111111111115,1635.4962962962966,3361.451851851852,2354.0111111111105,1486.2925925925929,4323.522222222223,2998.155555555556,1864.6518518518517
XP_011523401.1,5897.9,4202.7,1661.0,5469.2,3346.5,1405.9,3882.4,1696.5,836.5,5899.5,4225.2,1605.4,5405.5,2969.3,1268.2,4893.4,3128.9,1255.0,4803.8,2545.6,1105.1,4683.6,2584.5,1092.1,3700.7,1701.9,811.1,5938.596296296297,3293.9925925925922,1365.3666666666668,5687.492592592591,2789.637037037037,1211.1333333333332,6791.14814814815,2299.511111111111,1039.9592592592594,5975.988888888887,3332.9925925925927,1351.737037037037,6228.614814814816,2640.844444444444,1073.874074074074,5087.918518518518,2499.103703703703,1116.385185185185,6545.074074074074,2717.5074074074078,1124.2888888888888,6081.322222222224,2573.540740740741,1152.5777777777778,6366.637037037038,2343.692592592592,982.914814814815
NP_001681.2,2188.5,2654.3,3398.5,2193.1,2606.7,3414.6,1765.5,1866.0,2971.8,2164.3,2795.6,3607.8,2586.9,2797.0,4388.4,2274.9,2755.3,4350.8,2342.7,2708.2,4217.5,2401.4,2710.1,4166.7,2147.8,2225.3,4316.5,2085.859259259259,2166.0111111111114,2819.888888888888,2177.6962962962966,2193.348148148148,2881.977777777777,2780.8999999999996,2516.4222222222224,3668.2296296296295,2054.3888888888887,2288.2925925925924,3055.548148148148,2706.440740740741,2449.5074074074078,3693.085185185185,2231.811111111111,2231.811111111111,3693.085185185185,2932.0444444444447,2871.929629629629,4197.762962962964,2923.5370370370365,2711.5222222222224,4167.403703703703,3418.6000000000004,3010.4555555555553,5036.885185185186
NP_004951.1,6675.5,6851.7,1982.9,5318.1,5123.1,1685.4,2664.5,2413.8,1272.4,5000.0,4987.5,1813.7,3683.2,3837.9,1614.9,3156.1,3533.7,1200.4,3322.9,3436.5,1510.1,2928.6,3009.1,994.9,1874.8,2078.8,995.7,6643.322222222223,5139.651851851852,1640.5555555555552,5561.192592592593,4197.762962962964,1403.3962962962964,4314.281481481482,3246.1407407407414,1548.8444444444442,4978.333333333332,3893.040740740741,1512.0333333333338,4011.562962962964,3426.0259259259246,1361.0296296296294,3183.259259259259,2808.4555555555544,1065.6296296296296,4206.3814814814805,3675.5962962962953,1526.414814814815,3711.114814814815,2979.4666666666676,1070.8037037037038,2932.0444444444447,2808.4555555555544,1178.4962962962964
NP_057376.2,2042.2,358.9,2136.7,1964.0,329.2,2179.1,1482.9,265.1,1463.1,1967.0,389.7,2215.1,2083.6,358.5,2185.8,2462.8,351.7,2023.1,1552.6,292.7,1547.4,1643.5,306.0,1314.5,1292.5,224.7,1114.4,1931.2925925925927,261.8407407407408,1782.825925925926,1949.3481481481479,249.23703703703703,1854.3259259259257,2268.874074074074,309.02962962962965,1799.0074074074078,1875.1185185185186,288.39259259259256,1887.2555555555557,2149.5333333333333,277.6925925925926,1870.5999999999997,2441.7777777777783,252.9777777777778,1736.3925925925926,1904.8518518518515,283.3148148148147,1567.233333333333,1939.3037037037038,276.1925925925926,1347.6666666666663,1959.662962962963,276.9037037037037,1329.711111111111
NP_001007.2,2177.7,2423.1,2728.4,2085.6,2386.4,2657.5,1597.5,1489.9,1626.8,2187.0,2364.5,2541.4,2173.5,2310.7,2466.6,2381.3,2291.3,2343.1,1878.5,1809.9,2037.1,1769.4,1766.8,1928.7,1662.1,1423.3,1501.8,2069.659259259259,1967.8740740740743,2292.3703703703704,2096.633333333333,2015.5296296296294,2273.0814814814817,2473.4037037037033,1995.0592592592598,2008.5740740740735,2079.5851851851853,1898.5296296296294,2153.811111111111,2247.022222222222,2043.6999999999996,2114.2925925925924,2370.9518518518516,1825.6,1988.462962962963,2318.303703703704,1952.3074074074073,2039.585185185185,2088.0888888888885,1802.033333333334,1962.8,2612.9703703703703,1967.8740740740743,1740.888888888889
NP_001269468.1,0.0,888.4,1226.0,0.0,850.7,1230.1,0.0,706.6,1037.7,0.0,970.7,1145.2,0.0,987.4,1510.5,0.0,992.7,1406.6,0.0,859.3,1147.6,0.0,860.8,1141.3,0.0,667.6,1153.8,0.0,701.4851851851853,1062.151851851852,0.0,695.9925925925927,1090.7999999999997,0.0,926.7518518518518,1263.537037037037,0.0,785.1518518518519,1027.1518518518517,0.0,867.7888888888889,1269.9481481481484,0.0,777.6814814814816,1225.4444444444443,0.0,913.7370370370371,1158.1481481481478,0.0,851.3925925925927,1204.9148148148151,0.0,900.8296296296298,1380.814814814815
NP_000993.1,555.8,2094.6,4383.2,509.6,2146.1,4371.2,245.3,1291.9,3402.0,553.1,2297.0,4038.3,384.2,2110.4,4309.7,466.2,1932.6,3480.3,351.5,1870.6,3997.5,347.6,2070.0,3001.3,192.2,1441.0,3232.1,501.937037037037,1701.362962962963,3650.596296296296,483.88148148148144,1837.8148148148148,3726.944444444444,344.0666666666667,1750.666666666667,4238.966666666667,512.2814814814816,1851.1333333333332,3418.6000000000004,365.39259259259256,1901.114814814815,3628.9333333333325,440.5555555555555,1563.6185185185184,2942.640740740741,407.2814814814815,2019.6592592592594,3927.4703703703703,395.75925925925924,2092.940740740741,3036.2481481481486,284.08148148148143,1988.462962962963,3742.2259259259263
XP_016875261.1,2537.1,8229.1,13340.4,2391.0,7623.6,12832.4,1526.1,4694.8,7919.4,2448.0,8120.3,13011.2,2237.7,6743.1,11233.1,2191.0,7119.1,11982.9,2019.8,6042.3,10004.1,1822.1,5448.6,8894.3,1370.2,3900.4,7185.8,2449.5074074074078,6246.12962962963,11214.114814814817,2394.9666666666662,6292.251851851852,11147.651851851853,2360.1333333333328,6341.822222222221,9825.877777777776,2367.855555555556,6292.251851851852,10992.933333333329,2322.4629629629635,6081.322222222224,9715.225925925928,2127.659259259259,5458.003703703705,9493.381481481481,2531.325925925926,6419.066666666667,9773.148148148148,2153.811111111111,5502.2962962962965,8676.411111111112,2107.7666666666664,5405.666666666667,8309.988888888887
NP_036555.1,7232.4,6458.4,13230.0,6954.6,6342.4,12198.0,3728.0,3978.3,8788.2,6838.4,6317.6,12634.5,5728.6,5859.0,12057.5,6298.6,5871.4,10746.0,5274.3,5463.8,12297.5,5393.2,5196.4,9944.0,3602.9,4172.4,10117.4,7266.8,4796.666666666667,11147.651851851853,7504.61111111111,4991.762962962963,10669.096296296295,6523.874074074073,5365.22962962963,10992.933333333329,7028.177777777777,4839.174074074074,10669.096296296295,6568.314814814814,5121.718518518517,10330.455555555558,6873.329629629629,4513.6703703703715,8772.72222222222,7211.133333333333,5821.337037037036,12521.874074074076,7241.944444444444,5232.37037037037,9667.033333333333,6140.907407407409,5706.622222222221,11535.962962962965
NP_114366.1,644.4,1603.2,1796.2,648.9,1718.9,1811.4,421.6,1019.0,1428.6,625.2,1816.2,1782.8,628.7,1576.9,2091.7,792.5,2426.0,1864.7,432.0,1272.7,1377.1,493.5,1630.5,1370.4,363.7,989.2,1121.3,586.1851851851851,1347.6666666666663,1482.677777777778,621.874074074074,1496.837037037037,1546.2111111111112,586.1851851851851,1416.3777777777777,1760.911111111111,577.5259259259258,1521.2037037037035,1478.155555555555,599.4407407407407,1436.451851851852,1792.8518518518522,726.7370370370371,1974.1074074074074,1584.2259259259258,499.70370370370364,1399.877777777778,1394.4518518518514,550.9333333333333,1677.2740740740744,1405.2370370370368,534.9,1341.3703703703702,1345.7629629629632
NP_291029.2,2055.4,1050.2,3224.3,1783.1,996.9,3279.5,1154.4,703.4,2628.5,2075.3,1049.1,3151.6,1700.3,1020.5,3856.4,1845.0,1103.3,3339.9,1475.6,797.5,2924.1,1486.9,772.9,2644.7,1120.3,608.1,2664.4,1952.3074074074073,862.1814814814815,2702.3,1754.3370370370374,836.5888888888888,2802.6111111111104,1817.0629629629632,924.1333333333334,3246.1407407407414,1970.959259259259,845.0666666666667,2706.440740740741,1763.366666666667,906.4185185185185,3225.285185185185,1765.877777777778,876.9148148148148,2802.6111111111104,1809.8333333333333,851.3925925925927,2887.8333333333326,1763.366666666667,756.6814814814816,2706.440740740741,1709.5037037037036,796.074074074074,3079.6703703703706
NP_006089.1,5304.1,4442.9,5115.3,4916.5,4240.1,4982.3,3350.1,2826.9,3395.8,4867.5,4388.5,4956.5,5211.0,4633.1,5718.2,5880.2,3847.0,4273.8,4175.3,4125.4,5002.9,4032.9,3389.5,3848.5,3664.5,3293.7,4038.4,5139.651851851852,3439.7629629629632,4167.403703703703,5074.1407407407405,3411.5000000000005,4187.696296296297,5975.988888888887,3840.137037037038,4206.3814814814805,4703.118518518519,3405.025925925926,4135.159259259259,5938.596296296297,4114.914814814815,4839.174074074074,6316.0074074074055,3067.125925925926,3604.5185185185187,5654.1,4422.592592592592,5007.603703703704,5139.651851851852,3391.4333333333334,3830.081481481481,6267.996296296296,4576.366666666667,4670.907407407407
NP_036450.1,2596.2,8328.6,3719.9,2422.2,7566.7,3330.3,982.5,4304.6,2079.3,2423.1,7914.6,3204.6,1712.7,6286.0,2825.1,1988.3,6789.5,2869.4,1373.7,5208.5,2206.6,1484.2,5447.3,2242.2,960.2,4166.0,2163.4,2536.385185185185,6316.0074074074055,3109.522222222222,2433.325925925926,6205.222222222223,2826.592592592593,1494.7555555555557,5799.151851851852,2587.3888888888887,2318.303703703704,6125.562962962962,2735.529629629629,1785.1407407407412,5623.707407407408,2417.529629629629,1913.2370370370375,5296.407407407408,2404.1666666666674,1677.2740740740744,5561.192592592593,2193.348148148148,1758.2888888888888,5474.603703703704,2273.0814814814817,1444.8592592592593,5687.492592592591,2485.5185185185187
NP_683877.1,4533.4,5396.8,3391.7,3917.2,5202.3,3312.2,2110.3,3144.3,2349.1,4290.7,5311.3,3358.5,3303.5,4542.0,3225.2,3904.4,5748.1,3393.7,2729.8,3834.3,2735.6,3076.0,4083.2,2682.8,1886.9,3092.7,2346.9,4475.425925925925,4206.3814814814805,2814.103703703704,3973.159259259259,4247.896296296297,2814.103703703704,3397.9999999999995,4314.281481481482,2887.8333333333326,4175.511111111111,4153.492592592593,2839.318518518519,3541.5925925925935,4061.314814814815,2759.040740740741,3911.4259259259265,4407.933333333333,2854.4481481481466,3439.7629629629632,4153.492592592593,2679.3333333333335,3884.5777777777776,4167.403703703703,2729.4888888888886,2955.05925925926,4289.992592592593,2711.5222222222224
NP_004631.1,2786.9,4963.1,561.0,2595.1,5452.8,525.9,2010.7,3108.3,409.5,2597.0,5156.7,545.9,2903.4,5466.3,574.0,2702.0,5369.9,477.1,2242.9,3900.5,510.4,2050.9,3883.3,388.3,1909.2,2546.0,380.2,2694.9148148148147,3824.1481481481483,523.0370370370372,2632.7407407407404,4407.933333333333,501.937037037037,3225.285185185185,4230.103703703704,541.337037037037,2511.540740740741,4038.9703703703703,516.0333333333333,3067.125925925926,4839.174074074074,522.2037037037037,2650.7666666666664,4126.451851851853,451.9592592592592,2819.888888888888,4206.3814814814805,556.1592592592592,2438.914814814815,3947.9111111111106,442.41111111111104,3003.477777777778,3521.2518518518523,485.62592592592586
NP_006491.2,3053.1,4122.2,595.4,2729.6,3524.8,544.4,1538.2,2108.8,531.0,2878.5,3923.5,564.0,2254.0,3103.2,655.7,3530.7,3665.8,642.5,2425.8,3598.7,741.3,2694.2,3621.1,594.1,1706.3,2547.8,643.8,2979.4666666666676,3218.3037037037043,552.4296296296296,2747.481481481482,2912.5111111111114,521.1888888888889,2391.1222222222223,2899.6333333333337,694.8999999999999,2826.592592592593,3071.6888888888884,535.7296296296295,2347.1740740740747,2763.4666666666667,601.9444444444446,3579.907407407408,2904.7370370370368,599.4407407407407,3062.133333333333,3884.5777777777776,780.2555555555556,3354.977777777778,3668.2296296296295,648.1962962962963,2702.3,3541.5925925925935,809.8629629629629
