Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample
NP_001352542.1,37062.5,51670.0,26381.0,30229.9,43439.1,23080.1,13591.5,20366.8,12355.8,33185.4,47192.3,23172.0,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325.0,31446.0,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8,37607.014814814815,37607.014814814815,19983.77407407407,31427.98888888888,37607.014814814815,18645.27037037037,26756.714814814815,30650.218518518515,15367.451851851847,31427.98888888888,37607.014814814815,18848.314814814814,25936.725925925926,30650.218518518515,15367.451851851847,30650.218518518515,34595.76666666667,17091.14814814815,30650.218518518515,31427.98888888888,16906.51111111111,33355.5,39181.1962962963,17657.90740740741,31427.98888888888,39181.1962962963,18178.16296296296
NP_002464.1,19427.3,25402.4,22284.2,18006.9,23741.6,20898.2,11798.1,15371.9,16056.8,18953.9,26016.7,22605.4,17417.6,22669.0,22470.5,20315.9,28743.7,24522.8,14633.9,20409.0,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4,21062.459259259256,19687.366666666665,17495.17037037037,19983.77407407407,19365.277777777774,16906.51111111111,22736.351851851847,21350.111111111117,20302.09259259259,19983.77407407407,20302.09259259259,17959.62222222222,21350.111111111117,20582.581481481488,19365.277777777774,22165.59259259259,22165.59259259259,19029.055555555555,18848.314814814814,20582.581481481488,19029.055555555555,17305.181481481482,18645.27037037037,17305.181481481482,18178.16296296296,19029.055555555555,18419.466666666664
XP_006720633.1,16791.8,18958.2,22244.8,17048.4,19550.3,21019.6,13461.3,15120.2,16835.4,18537.3,21105.2,21064.5,20723.8,24030.7,26205.1,22989.7,27398.3,26764.1,17891.0,20677.8,22794.1,19475.0,22736.7,21950.9,15179.2,17181.7,20117.1,17495.17037037037,14238.985185185187,17305.181481481482,18848.314814814814,16050.625925925924,17091.14814814815,25936.725925925926,20582.581481481488,21062.459259259256,18645.27037037037,15930.070370370373,16906.51111111111,24771.4074074074,21760.211111111115,22165.59259259259,24771.4074074074,19983.77407407407,19687.366666666665,23792.018518518522,21350.111111111117,23214.166666666668,27558.16666666667,22165.59259259259,22165.59259259259,29596.79259259259,22736.351851851847,22736.351851851847
NP_001017963.2,13310.9,17617.5,17971.2,12191.6,15937.3,16905.1,7839.3,10792.9,12818.4,12644.6,17387.0,18401.0,11471.8,15297.9,18231.6,12829.7,17410.5,22162.5,9981.6,13709.0,16219.2,9067.2,13086.4,14426.8,7104.2,9894.8,13243.3,12691.822222222223,13211.859259259258,14927.925925925925,12370.644444444442,12914.618518518519,14658.714814814814,13009.448148148147,14238.985185185187,16501.866666666665,12370.644444444442,13009.448148148147,15367.451851851847,13106.362962962963,13742.78888888889,15532.4,13286.466666666667,13742.78888888889,17495.17037037037,12782.418518518518,13979.385185185187,15225.14074074074,11535.962962962965,12691.822222222223,14927.925925925925,11692.21111111111,13211.859259259258,15367.451851851847
NP_001258898.1,21943.7,35543.7,36182.3,20568.1,32030.0,33843.0,12932.5,19959.7,23820.0,22177.2,36078.5,38389.6,19586.8,29230.3,34946.2,18950.9,30537.4,33671.8,19289.0,28650.7,36616.8,17890.2,28775.4,31704.8,13142.2,19430.1,26245.9,22736.351851851847,27558.16666666667,25936.725925925926,23214.166666666668,26756.714814814815,25936.725925925926,24771.4074074074,28751.551851851844,28751.551851851844,23792.018518518522,26756.714814814815,26756.714814814815,23214.166666666668,28113.70740740741,28113.70740740741,21350.111111111117,23214.166666666668,26756.714814814815,28113.70740740741,28751.551851851844,32517.937037037038,22736.351851851847,27558.16666666667,30650.218518518515,23214.166666666668,25936.725925925926,32517.937037037038
NP_005338.1,37286.4,38669.3,34448.9,34076.4,35732.2,32098.6,21355.9,22358.9,21709.6,36502.7,36792.7,32021.5,30236.0,31310.0,30072.0,31680.7,34089.0,31547.7,31275.5,31945.7,30511.7,29368.5,30395.5,27017.0,22862.8,23739.3,25265.0,39181.1962962963,31427.98888888888,25280.94444444444,39181.1962962963,30650.218518518515,25280.94444444444,39181.1962962963,31427.98888888888,25936.725925925926,42465.04074074075,27558.16666666667,24248.185185185186,39181.1962962963,29596.79259259259,25280.94444444444,35542.33333333333,27558.16666666667,25280.94444444444,42465.04074074075,33355.5,27558.16666666667,44601.13703703704,30650.218518518515,26756.714814814815,44601.13703703704,34595.76666666667,30650.218518518515
NP_001186883.1,0.0,377.8,334.8,0.0,357.9,316.9,0.0,286.6,263.3,0.0,316.3,261.5,0.0,358.9,325.0,0.0,524.8,374.1,0.0,279.8,281.5,0.0,291.9,233.5,0.0,237.1,246.8,0.0,284.08148148148143,324.4222222222222,0.0,284.08148148148143,321.7851851851852,0.0,338.05185185185195,353.7333333333333,0.0,224.13333333333335,265.28888888888895,0.0,278.4703703703704,299.98148148148147,0.0,386.12962962962956,371.4555555555556,0.0,270.0777777777777,319.97407407407405,0.0,256.26296296296294,281.2296296296297,0.0,292.32222222222225,331.1888888888888
NP_001419.1,33984.0,41833.5,54340.1,29931.6,38649.3,50070.7,22230.2,27935.3,39632.5,36284.1,43744.8,54326.7,33880.7,42240.0,58214.0,31489.7,40916.6,52972.6,31306.0,37486.1,50818.6,27648.6,34218.6,44784.9,20419.9,25148.9,36594.1,32517.937037037038,34595.76666666667,39181.1962962963,30650.218518518515,34595.76666666667,37607.014814814815,44601.13703703704,39181.1962962963,44601.13703703704,37607.014814814815,35542.33333333333,37607.014814814815,44601.13703703704,42465.04074074075,44601.13703703704,34595.76666666667,32517.937037037038,34595.76666666667,44601.13703703704,39181.1962962963,50870.4,39181.1962962963,37607.014814814815,42465.04074074075,39181.1962962963,37607.014814814815,44601.13703703704
NP_001092.1,25013.5,35942.2,42616.3,25162.8,37244.6,45046.8,18758.2,25184.4,33603.9,26883.5,40190.6,46383.6,28243.8,39367.2,52388.8,33957.9,47599.5,53349.9,24886.0,34879.1,46440.8,22597.4,32991.8,40940.5,16289.1,20734.4,30436.5,25280.94444444444,28751.551851851844,32517.937037037038,28751.551851851844,31427.98888888888,34595.76666666667,33355.5,35542.33333333333,39181.1962962963,26756.714814814815,32517.937037037038,34595.76666666667,32517.937037037038,34595.76666666667,39181.1962962963,39181.1962962963,39181.1962962963,35542.33333333333,34595.76666666667,35542.33333333333,39181.1962962963,30650.218518518515,35542.33333333333,39181.1962962963,33355.5,28751.551851851844,37607.014814814815
NP_001157789.1,11838.9,12516.0,10331.7,11414.6,11251.8,10196.6,9402.1,7322.1,7984.5,12421.4,12581.7,11349.9,13149.7,11274.7,11150.7,18836.3,15527.5,16405.3,12776.9,10553.5,10566.8,9924.9,8893.2,8931.6,6976.5,5487.3,6258.0,11692.21111111111,9404.040740740742,8384.655555555555,11692.21111111111,9097.885185185187,8506.751851851852,15930.070370370373,9895.422222222223,9856.933333333336,12084.977777777778,9493.381481481481,9620.437037037038,15225.14074074074,9996.740740740743,9526.155555555553,20582.581481481488,12274.696296296293,13594.8,16906.51111111111,10919.125925925924,10582.070370370371,12521.874074074076,8984.17037037037,8741.981481481482,11284.896296296294,7340.725925925925,7028.177777777777
