Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,-log10_pvalues1,s3_avg,p_value_s3,-log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s3,log2_fc_s3,expression_s3
NP_005944.1,3003.477777777778,2123.9,1358.3703703703704,4135.159259259259,3418.6000000000004,2326.692592592592,2972.096296296297,1893.9555555555555,1104.0296296296297,4114.914814814815,3194.6037037037045,2177.6962962962966,2489.566666666666,1984.1074074074077,1254.9555555555555,7473.544444444445,6791.14814814815,4433.577777777778,4656.629629629631,3325.166666666666,2123.9,3750.7370370370368,2679.333333333333,1687.4037037037033,6161.466666666667,4446.3703703703695,2404.1666666666674,3293.4839506172834,0.1863234237519392,0.7297325441013639,3162.4049382716057,0.24632915843045328,0.6084841768903908,1.5234097325646199,0.6073040177536093,up-regulated,1.4627787879064755,0.5487116110891426,up-regulated
NP_000509.1,0.0,66.11851851851851,272.4037037037037,0.0,125.60370370370372,633.1888888888888,0.0,33.77037037037037,223.48888888888888,0.0,42.56666666666666,240.00000000000003,0.0,33.348148148148155,223.48888888888888,0.0,15.814814814814817,175.19629629629625,0.0,51.34444444444444,268.6296296296296,0.0,22.262962962962963,191.64814814814807,0.0,161.25555555555553,339.5037037037037,252.9308641975308,0.5577149456698933,0.25358771710967337,94.18888888888891,0.87415851914353,0.05840980564147878,2.241485322917692,1.1644550527576911,up-regulated,0.8347064036498509,-0.2606592559618391,
NP_005827.1,634.7888888888891,0.0,37.262962962962966,634.7888888888891,0.0,29.718518518518515,355.7703703703704,0.0,28.829629629629625,431.2851851851852,0.0,28.829629629629625,382.0555555555554,0.0,35.303703703703704,222.8037037037037,0.0,33.01481481481481,240.00000000000003,0.0,33.77037037037037,233.94074074074072,0.0,29.718518518518515,242.33333333333331,0.0,37.72222222222223,221.50246913580256,0.9935336209668673,0.0028174318724048255,153.3716049382716,0.7920143978106109,0.10126692341951574,0.9887740143507445,-0.01628726614743506,,0.6846418376007138,-0.5465786385682314,down-regulated
NP_848696.1,3911.425925925927,5738.666666666667,400.7000000000001,2645.655555555556,3541.592592592593,383.4851851851852,1394.4518518518514,2288.2925925925924,304.25925925925924,3264.722222222222,4851.599999999999,405.4444444444445,2061.385185185185,2735.529629629629,327.6629629629629,1796.6629629629626,2865.792592592593,371.4555555555556,3028.937037037037,4135.159259259259,410.73333333333335,3168.859259259259,4433.577777777778,516.0333333333333,2279.9703703703703,3148.3222222222225,450.8370370370369,2190.244444444445,0.5669853169875628,0.24642818772763428,2840.588888888889,0.8150623644773263,0.08880915995676404,0.6537527536063122,-0.6131829768841047,down-regulated,0.8478701145367564,-0.23808482003492745,
NP_001258803.1,192.8592592592593,118.5888888888889,0.0,372.3444444444445,111.17407407407408,0.0,237.63703703703703,142.2407407407407,0.0,217.1407407407408,109.63333333333333,0.0,230.51111111111103,121.30740740740735,0.0,220.86666666666665,121.30740740740735,0.0,162.01111111111112,126.1,0.0,156.5740740740741,89.29259259259261,0.0,159.11111111111111,91.0148148148148,0.0,161.17283950617286,0.6750345969390243,0.1706739680953982,108.9246913580247,0.9545435520150267,0.020204251693257316,1.5524848081245317,0.6345791509896309,up-regulated,1.0492085954501669,0.06930153178009348,
XP_011518282.1,0.0,911.2185185185184,1324.9111111111113,0.0,1380.814814814815,1991.259259259259,0.0,1292.7074074074071,1974.1074074074077,0.0,1296.9333333333338,2039.585185185185,0.0,1399.877777777778,2276.7259259259254,0.0,756.6814814814816,1296.9333333333338,0.0,1438.5555555555557,2322.4629629629635,0.0,1370.1444444444442,2247.022222222222,0.0,1429.2703703703703,2228.333333333333,1124.0246913580247,0.6247151069659176,0.2043179917446976,1112.172839506173,0.6380716740599303,0.195130534601116,1.5079957929955032,0.5926324037836391,up-regulated,1.492095303558563,0.5773396867863118,up-regulated
XP_011543064.1,224.13333333333333,34.262962962962966,0.0,404.77407407407406,85.30740740740741,0.0,718.6481481481482,151.5,0.0,487.6703703703704,96.7222222222222,0.0,811.3555555555556,199.4333333333334,0.0,518.3296296296296,107.24814814814816,0.0,899.6555555555556,230.51111111111103,0.0,981.3703703703702,230.51111111111103,0.0,770.9148148148147,195.40370370370368,0.0,163.3604938271605,0.6214916189981947,0.20656472357483652,194.7975308641975,0.5587416565877531,0.2527889489158512,1.8966273453065206,0.9234362418005058,up-regulated,2.2616136568864937,1.1773525001065095,up-regulated
